"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RDG-001","2026-05-12","Root CLI package","The repo root provides a `kolm` CLI entry point.","Root `package.json` has `bin.kolm = cli/kolm.js`, and local CLI help/compile help executes.","A GitHub-source install can expose the CLI bin.","Good preview foundation if public install wording says source install.","Keep GitHub-source install as preview and add install smoke tests.","solid","package.json; cli/kolm.js"
"RDG-002","2026-05-12","Server Dockerfile","The server container uses a pinned Node base image.","Root `Dockerfile` pins `node:22-alpine` by digest and starts `node server.js`.","The server Dockerfile is reproducible at the base-image layer.","This is useful server deployment hygiene, not proof of a published CLI image.","Keep digest pinning and separate server image from CLI release docs.","solid","Dockerfile"
"RDG-003","2026-05-12","Security caveat","Supply-chain proof is marked as target architecture.","Live and local security page says SLSA, Sigstore, and CycloneDX are not emitted by a release workflow yet.","The lead supply-chain paragraph is appropriately caveated.","The caveat should govern all status badges and install pages.","Generate release labels from evidence and keep target cards roadmap-labeled.","solid","public/security.html; https://kolm.ai/security"
"RDG-004","2026-05-12","Node SDK source","The Node SDK package source is syntactically valid and small.","`node --check` passed for `sdk/node/index.mjs` and `sdk/node/bin/cli.mjs`; dry-run package has 6 entries and about 9.7 KB packed.","Local Node SDK packaging is clean as a source package.","Publication and public docs still lag behind source readiness.","Keep SDK tests and publish only after registry and docs are aligned.","solid","sdk/node/package.json; sdk/node/index.mjs; npm pack dry-run"
"RDG-005","2026-05-12","Python SDK source","The Python SDK source parses.","`py_compile` passed for the local `kolm` and legacy compatibility package files.","The Python source can be imported syntactically.","Wrapper command contracts and PyPI naming are still open.","Add command-contract tests before labeling Python shipped.","solid","sdk/python/pyproject.toml; sdk/python/kolm/client.py"
"RDG-006","2026-05-12","VS Code package source","The VS Code extension can be packaged locally.","`node --check sdk/vscode/extension.js` passed; npm dry-run package has 5 entries and about 5.8 KB packed.","The extension source is package-shaped and appropriately preview-labeled in integrations.","Marketplace release and current API naming remain open.","Keep preview label and add extension smoke before publish.","solid","sdk/vscode/package.json; sdk/vscode/extension.js"
"RDG-007","2026-05-12","CI basics","Lint and smoke workflows exist.","`.github/workflows/lint.yml` audits static refs, hrefs, innerHTML templates, and npm audit; `smoke.yml` starts the server and runs `scripts/smoke-live.sh`.","Basic repo CI exists.","It does not cover release publication or package-manager contracts.","Keep basic CI and add release/package gates.","solid",".github/workflows/lint.yml; .github/workflows/smoke.yml"
"RDG-008","2026-05-12","Published CLI package","Docs say `npm i -g @kolm/cli`.","Live `/docs` shows that command; `npm view @kolm/cli version --json` returned 404.","The documented public npm CLI package is not published.","First install command can fail for users.","Replace with GitHub-source preview install or publish and smoke the package.","open","https://kolm.ai/docs; npm view"
"RDG-009","2026-05-12","Root package publication","The root package can be installed as an npm package.","Root `package.json` is `private: true`; `npm view kolmogorov-stack version --json` returned 404.","The root is not a public npm registry package.","Public npm status should not be marked shipped.","Use preview GitHub install wording until a registry package exists.","open","package.json; npm view"
"RDG-010","2026-05-12","Root package contents","GitHub-source install is a clean release artifact.","Root `npm pack --dry-run` reported 390 entries, about 8.6 MB packed, including public assets, tests, research docs, fixture artifacts, workflows, and scripts.","The root package is a broad source snapshot, not a curated CLI release.","Install size, accidental content exposure, and reproducibility drift increase.","Add `.npmignore` or `files`, then snapshot package contents in CI.","open","npm pack dry-run; .gitignore"
"RDG-011","2026-05-12","Lockfile pinning","GitHub-source npm install uses the repo lockfile.","Root dry-run package did not include `package-lock.json`; npm also warned no `.npmignore` exists.","The install path is not a lockfile-pinned release artifact.","Dependency versions can drift despite pinned-lockfile wording.","Publish a tarball with lock/provenance or document GitHub install as source preview.","open","npm pack dry-run; package-lock.json"
"RDG-012","2026-05-12","Root license","Published packages include license evidence.","Root package dry-run did not include a root `LICENSE`; `Test-Path .\LICENSE` returned false.","The repo root lacks a license file in the package despite MIT positioning elsewhere.","Package scanners and buyers can flag missing license evidence.","Add a root license file and include it in package dry-runs.","open","package.json; npm pack dry-run"
"RDG-013","2026-05-12","Node SDK publication","The Node SDK is shipped as a public npm package.","Live integrations label Node/TypeScript shipped; `npm view @kolmogorov/kolm-sdk` returned 404; local README says the package is not published yet.","The Node SDK source exists but is not published.","Public shipped label overstates availability.","Change to source preview or publish with registry smoke.","open","public/integrations.html; sdk/node/README.md; npm view"
"RDG-014","2026-05-12","Legacy MCP package","The legacy MCP package is a shipped public package.","Local package metadata defines a legacy cloud MCP package, but npm registry lookup for that scoped package returned 404.","The package is source-only locally and distinct from artifact MCP.","Developers can confuse the legacy cloud MCP and artifact MCP paths.","Deprecate, rename, or source-label the legacy MCP package.","open","sdk/mcp/package.json; npm view"
"RDG-015","2026-05-12","GitHub Action","The composite action is shipped and usable.","Live integrations label GitHub Actions shipped; local action runs `kolm whoami`, `kolm compile --json`, and `kolm verify`. Local CLI probes show `whoami` and `verify` are unknown.","The action is out of contract with the root CLI.","Copied CI examples can fail on first use.","Update the action to current commands and add action smoke CI.","open",".github/actions/kolm-compile/action.yml; cli/kolm.js; public/integrations.html"
"RDG-016","2026-05-12","Compile JSON output","`kolm compile --json` returns parseable JSON for CI.","The action pipes compile output to `jq`; `kolm compile --help` does not document `--json` for compile.","JSON output is not a proven compile contract.","CI integrations can fail parsing progress text.","Implement documented `--json` or remove the action parser dependency.","open","cli/kolm.js; .github/actions/kolm-compile/action.yml"
"RDG-017","2026-05-12","Homebrew shipped","Homebrew install is shipped.","Live integrations mark Homebrew shipped; local formula stub says preview and has a placeholder SHA; the tap implied by docs returned 404.","Homebrew is not release-backed.","Users can copy a package-manager path that cannot work.","Label as preview until a real tap passes audit.","open","public/integrations.html; scripts/brew/kolm.rb; GitHub 404 check"
"RDG-018","2026-05-12","Windows package managers","winget / scoop is shipped.","Live integrations mark Windows package-manager path shipped; local winget stub says preview and incomplete; expected winget and Scoop checks returned 404.","No public Windows manifest was found in the checked locations.","Windows users get a Node-install workaround, not a shipped Kolm package.","Change label to Node+npm workaround or publish manifests.","open","public/integrations.html; scripts/winget/kolm.yaml; GitHub 404 checks"
"RDG-019","2026-05-12","Docker shipped","Docker is a shipped Kolm distribution.","Live integrations mark Docker shipped but the shown command uses upstream `node:22-alpine` and installs from GitHub source; root Dockerfile is a server image, not a published CLI image.","There is no evidence of a published Kolm Docker image or release workflow.","Docker label overstates release maturity.","Call it a Docker recipe or publish a signed CLI/server image.","open","public/integrations.html; Dockerfile; .github/workflows"
"RDG-020","2026-05-12","Python package name","The Python SDK can publish as `kolm`.","`pip index versions kolm` returned an existing unrelated package at version 1.1.4; PyPI JSON metadata confirms a different project.","The desired PyPI name is occupied.","Publishing under the current name can be blocked or confusing.","Choose a new package name or resolve ownership before public docs say installable.","open","sdk/python/pyproject.toml; pypi.org/pypi/kolm/json"
"RDG-021","2026-05-12","Python install docs","Python package instructions are current.","Live integrations show editable local install and `from kolm import Kolm`; local Python README still uses legacy package/CLI language and a legacy API host in its key example.","Python docs are split between current Kolm and legacy recipe-era package text.","Users can install or import the wrong client.","Rewrite Python README around current `kolm` source install and CLI dependency.","open","public/integrations.html; sdk/python/README.md; sdk/python/pyproject.toml"
"RDG-022","2026-05-12","Python compile wrapper","Python `Kolm.compile()` matches root CLI.","`sdk/python/kolm/client.py` shells out with `--recall` and `--recipe-pack-depth`, while root compile help documents `--data` and not those flags.","The Python wrapper can call unsupported CLI flags.","Python source can parse but still fail on real compile workflows.","Align Python wrapper with root CLI and add CLI contract tests.","open","sdk/python/kolm/client.py; cli/kolm.js"
"RDG-023","2026-05-12","Python run/verify wrappers","Python local run and verify wrappers work with root CLI.","Python `run()` calls `kolm run ... --in ... --json`; root run expects positional input. Python `verify()` calls `kolm verify`, which does not exist.","Python local artifact wrappers are out of contract.","Python users can hit runtime failures after a successful import.","Use `run`, `inspect`, and `eval` correctly or add compatibility commands.","open","sdk/python/kolm/client.py; cli/kolm.js"
"RDG-024","2026-05-12","VS Code extension API","VS Code extension targets current Kolm API/package names.","`sdk/vscode/extension.js` passes syntax, but its default base URL is a legacy host and replacement text references a legacy scoped import.","The extension is preview but not current-brand/current-host ready.","Marketplace publication would ship stale integration paths.","Update base URL, imports, and naming before release.","open","sdk/vscode/extension.js; sdk/vscode/package.json"
"RDG-025","2026-05-12","VS Code marketplace","The VS Code extension is published.","Integrations page labels VS Code preview and gives local packaging steps; source search found no marketplace publish workflow.","Preview label is accurate, but there is no release proof.","Users should not expect marketplace install yet.","Keep preview and add VSIX/release workflow when ready.","open","public/integrations.html; sdk/vscode/package.json; .github/workflows"
"RDG-026","2026-05-12","SLSA provenance","Release tags emit provenance.","Security page cards describe SLSA provenance, but source search found no workflow with `id-token`, SLSA, or release attestation emission.","No provenance workflow exists.","Buyers can over-read target cards as emitted evidence.","Keep roadmap labels and add a release provenance workflow.","open","public/security.html; .github/workflows"
"RDG-027","2026-05-12","Sigstore signatures","Release artifacts are signed with Cosign.","Security page says target signatures; source search found no Cosign or publish workflow.","No signed release artifacts are emitted.","Supply-chain proof cannot be verified yet.","Add keyless signing and verification jobs before claiming signed releases.","open","public/security.html; .github/workflows"
"RDG-028","2026-05-12","SBOM","Releases include CycloneDX SBOMs.","Security page says SBOM target; source search found no CycloneDX or SBOM artifact generation workflow.","No SBOM release artifact exists.","Security reviews may request a file that is not published.","Add SBOM generation and link only after release artifacts exist.","open","public/security.html; .github/workflows"
"RDG-029","2026-05-12","Live/install label source","Public shipped labels are evidence-backed.","Live integrations hard-code status badges for npm, package managers, Docker, Node, Python, and GitHub Actions; registry/tap checks disagree with several labels.","Labels are not generated from release evidence.","Docs can drift from real package state.","Create a release-evidence manifest and render status from it.","open","public/integrations.html; https://kolm.ai/integrations"
"RDG-030","2026-05-12","Release tests","Tests block package/distribution drift.","Root tests cover site/static/server/artifact behavior, but not npm registry existence, Homebrew tap, winget manifest, package dry-run contents, action smoke, VSIX, PyPI ownership, or signed release artifacts.","Release regressions can ship silently.","Add package/distribution CI gates and keep them separate from product runtime tests.","open","tests/*.test.js; .github/workflows; npm pack dry-run"
