document_text,extracted_json
"Invoice INV-2031 dated 2026-04-12. Bill to: Acme Corp, 200 Market St, San Francisco CA 94103. Total: $4,210.50 due 2026-05-12.","{""invoice_number"":""INV-2031"",""date"":""2026-04-12"",""bill_to"":""Acme Corp"",""address"":""200 Market St, San Francisco CA 94103"",""total"":4210.50,""due_date"":""2026-05-12""}"
"Receipt #R-88412 from Bluebird Cafe on 2026-05-01 — Coffee $4.25, Bagel $3.50, tax $0.62, total $8.37.","{""receipt_number"":""R-88412"",""merchant"":""Bluebird Cafe"",""date"":""2026-05-01"",""items"":[{""name"":""Coffee"",""price"":4.25},{""name"":""Bagel"",""price"":3.50}],""tax"":0.62,""total"":8.37}"
"Contract dated March 3, 2026 between Alpha Labs (vendor) and Beta Inc (client). Term: 24 months. Monthly fee: $1,200.","{""contract_date"":""2026-03-03"",""vendor"":""Alpha Labs"",""client"":""Beta Inc"",""term_months"":24,""monthly_fee"":1200,""total_value"":28800}"
"Invoice 7720 — issued 5/14/26 to Gamma LLC. Net 30. Subtotal $980. Tax $78.40. Total $1,058.40.","{""invoice_number"":""7720"",""date"":""2026-05-14"",""bill_to"":""Gamma LLC"",""payment_terms"":""Net 30"",""subtotal"":980,""tax"":78.40,""total"":1058.40}"
"Receipt — Whole Foods, 2026-05-22, $43.18 on Visa ending 4421. Items: produce $18.90, dairy $9.50, snacks $14.78.","{""merchant"":""Whole Foods"",""date"":""2026-05-22"",""payment_method"":""Visa ending 4421"",""items"":[{""category"":""produce"",""amount"":18.90},{""category"":""dairy"",""amount"":9.50},{""category"":""snacks"",""amount"":14.78}],""total"":43.18}"
"NDA effective May 1, 2026. Disclosing Party: Helix Bio. Receiving Party: Quanta Capital. Duration: 3 years from effective date.","{""document_type"":""NDA"",""effective_date"":""2026-05-01"",""disclosing_party"":""Helix Bio"",""receiving_party"":""Quanta Capital"",""duration_years"":3,""expiry_date"":""2029-05-01""}"
"Invoice INV-9981 — Vendor: PrintPro. Customer: Delta Studios. Date: 2026-05-19. Line items: business cards $120, brochures $480, signage $1,200. Total $1,800. Due in 14 days.","{""invoice_number"":""INV-9981"",""vendor"":""PrintPro"",""customer"":""Delta Studios"",""date"":""2026-05-19"",""line_items"":[{""item"":""business cards"",""amount"":120},{""item"":""brochures"",""amount"":480},{""item"":""signage"",""amount"":1200}],""total"":1800,""payment_terms_days"":14}"
"Receipt: Costco Wholesale, member 7700-4421, 2026-05-15. 12 items, $217.43 total. Paid by Mastercard.","{""merchant"":""Costco Wholesale"",""member_number"":""7700-4421"",""date"":""2026-05-15"",""item_count"":12,""total"":217.43,""payment_method"":""Mastercard""}"
"Lease agreement signed 2026-01-15 — Lessor: Park Plaza LLC, Lessee: TechCo. Monthly rent: $5,500. Term: 36 months. Security deposit: $11,000.","{""document_type"":""lease"",""sign_date"":""2026-01-15"",""lessor"":""Park Plaza LLC"",""lessee"":""TechCo"",""monthly_rent"":5500,""term_months"":36,""security_deposit"":11000}"
"Invoice INV-4002 dated April 30, 2026. Customer: Echo Corp. Amount: $750. Status: PAID 2026-05-08.","{""invoice_number"":""INV-4002"",""date"":""2026-04-30"",""customer"":""Echo Corp"",""amount"":750,""status"":""PAID"",""paid_date"":""2026-05-08""}"
"Receipt # 991-44A from Shell gas station. 2026-05-26. 12.5 gal at $4.20. Total $52.50.","{""receipt_number"":""991-44A"",""merchant"":""Shell"",""date"":""2026-05-26"",""quantity_gallons"":12.5,""unit_price"":4.20,""total"":52.50}"
"Purchase order PO-2026-118 — Vendor: Foxtrot Mfg. Items: Widget A x 100 @ $12, Widget B x 50 @ $20. Ship by 2026-06-10. Total $2,200.","{""po_number"":""PO-2026-118"",""vendor"":""Foxtrot Mfg"",""items"":[{""sku"":""Widget A"",""quantity"":100,""unit_price"":12},{""sku"":""Widget B"",""quantity"":50,""unit_price"":20}],""ship_by"":""2026-06-10"",""total"":2200}"
