"id","date","area","source_score_shape","kolm_mapping","normalization_rule","risk","recommended_action","status","sources"
"ESN-001","2026-05-13","K-score","Local K-score uses accuracy, size, latency, cost, coverage, and a 0.85 ship gate.","Keep K-score as artifact-run evidence, not imported source evidence.","Only artifact eval replay can set K-score accuracy and ship status.","External scores could inflate artifact proof without replay.","Add a no-source-score-direct-to-K-score rule.","solid","src-artifact-score-current; src-benchmark-score-current"
"ESN-002","2026-05-13","Embedded evals","`rs-1-evals` stores input and expected output from positives.","Derive eval cases from normalized rows after score policy, but embed only safe eval fields.","Source scores stay in importer manifest or trace rows.","Artifacts could leak source metadata or treat comments as expected output.","Define an eval embedding allowlist.","open","src-compile-score-current; trace-eval-schema-spec-2026-05-13.md"
"ESN-003","2026-05-13","Deep equality","Artifact eval replay uses deep equality against expected output.","Map external rubrics to selection evidence, not current replay scoring.","Until rubric evaluators exist, artifact pass/fail remains exact/deep equality.","Partial-credit source scores will not match Kolm eval semantics.","Document current exact-match limit and add rubric runner later.","open","src-artifact-runner-score-current"
"ESN-004","2026-05-13","Receipts","Artifact receipts bind eval_score and eval_set_hash.","Keep source scores out of receipt.eval_score unless recomputed by artifact evals.","Receipt eval_score remains tied to embedded eval evidence.","Receipts become misleading if they sign external dashboard scores.","Add importer receipt fields separately from artifact receipts.","open","src-artifact-score-current; src-router-score-current"
"ESN-005","2026-05-13","Langfuse scores","Scores have names, values, data types, comments, and attach to traces, observations, sessions, or dataset runs.","Map to name, type, value_raw, value_numeric or label, comment, attached_to.","Numeric/boolean/categorical/text types must be preserved.","Text and categorical scores can be misread as numeric quality.","Use Langfuse score type as a required fixture field.","open","langfuse-scores-overview-2026-05-13"
"ESN-006","2026-05-13","Langfuse numeric","Numeric score values represent continuous judgments such as accuracy or relevance.","Map to type=numeric with min/max/direction from score config or score-map.","Do not normalize without known range and direction.","Unknown scales turn 90, 9, and 0.9 into incompatible signals.","Require score-map for numeric scores when config is absent.","open","langfuse-scores-overview-2026-05-13; langfuse-scores-sdk-2026-05-13"
"ESN-007","2026-05-13","Langfuse boolean","Boolean scores represent pass/fail checks.","Map to passed and value_numeric 1 or 0.","Boolean can select holdout rows but cannot set K-score directly.","A source pass can be mistaken for artifact pass.","Use boolean scores only for eval candidate trust.","open","langfuse-scores-overview-2026-05-13"
"ESN-008","2026-05-13","Langfuse categorical","Categorical scores are predefined labels.","Map label to passed only when score-map defines category semantics.","Unknown categories stay raw evidence.","Labels like partial, harmful, or irrelevant need per-project interpretation.","Require categorical map before eval selection.","open","langfuse-scores-overview-2026-05-13"
"ESN-009","2026-05-13","Langfuse text","Text scores are qualitative annotations and not useful for aggregation.","Map to comment or qualitative evidence only.","Text never creates passed/value_numeric by default.","Narrative feedback can be incorrectly treated as pass/fail.","Store text as evidence and require manual conversion.","open","langfuse-scores-overview-2026-05-13"
"ESN-010","2026-05-13","LangSmith feedback","Feedback records include key, score, value, comment, run/session IDs, and feedback source.","Map key to name, score to value_numeric, value to label, comment to comment, source to scorer.","Run ID and session ID attach feedback to source spans.","Feedback loses scorer origin and categorical meaning.","Preserve feedback_source and require score-map for value fields.","open","langsmith-feedback-format-2026-05-13"
"ESN-011","2026-05-13","LangSmith feedback source","Feedback can come from app traces, inline users, annotation queues, offline evaluators, or online evaluators.","Map source type to scorer.kind and scorer.ref.","Human/user/LLM/code origins stay separate.","User thumbs-up and evaluator correctness have different reliability.","Use scorer.kind in eval selection policy.","open","langsmith-feedback-format-2026-05-13"
