"id","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"CEG-001","Cookbook says 30 recipes all compile","Live and local cookbook headline states 30 recipes and all compile.","Repo has four verified fixture artifacts and no matching cookbook .toml specs or JSONL gold sets.","Buyers can interpret illustrative pages as verified artifacts.","Back the claim with per-recipe proof manifests or relabel pages as preview patterns.","open","https://kolm.ai/cookbook; public/cookbook.html; test/fixtures"
"CEG-002","Cookbook detail page count","Local cookbook directory has 33 HTML pages while the index links 30.","Three pages exist but are not linked from the index.","Navigation and recipe counts can drift silently.","Generate index links from the same manifest as detail pages.","open","public/cookbook; public/cookbook.html"
"CEG-003","Four public fixture artifacts","`sample.kolm`, `redactor.kolm`, `extractor.kolm`, and `classifier.kolm` exist with fixture tests.","`tests/artifact-end-to-end.test.js` verifies signatures, evals, benchmark privacy, tenant params, and tamper rejection.","These are strong proof but cover only four generic recipe-tier shapes.","Promote these as verified artifacts and do not imply every cookbook page has the same proof.","solid","test/fixtures; tests/artifact-end-to-end.test.js"
"CEG-004","Example JSON seed set","26 files under `examples/` are valid JSON and public-tagged.","Each file has 3 to 12 positive rows and optional negatives.","Seed examples can be mistaken for compiled artifacts or held-out eval proof.","Label them as seed examples until compiled artifact receipts exist.","solid","examples"
"CEG-005","Cookbook compile flag","All 33 cookbook pages use `--output` in compile snippets.","Current compile code reads `--out`; `--output` is not parsed in either spec or cloud path.","Copied commands can write to defaults or fail buyer expectations.","Change snippets to `--out` or add a tested `--output` alias.","open","public/cookbook; cli/kolm.js"
"CEG-006","Cookbook source files","Detail pages reference many `.toml`, `.jsonl`, `.json`, and `.kolm` files.","Repo search found no cookbook `.toml` specs or JSONL gold sets outside unrelated config files and fixtures.","Users cannot reproduce cookbook recipes from the repo.","Add source files or remove file-specific reproduction claims.","open","public/cookbook; repository file inventory"
"CEG-007","Run input file snippets","Two cookbook pages use `--input-file`.","`cmdRun` only parses positional input and `--params`; no `--input-file` branch exists.","Copied automation snippets fail or pass wrong input.","Implement the flag or replace snippets with supported positional input.","open","public/cookbook; cli/kolm.js"
"CEG-008","Run input stdin snippets","Four cookbook pages use `--input-stdin`.","`cmdRun` does not read stdin for run input.","Shell pipeline examples are not executable with the current CLI.","Add stdin support with tests or rewrite examples.","open","public/cookbook; cli/kolm.js"
"CEG-009","Run input flag behavior","Several snippets use `--input`; a direct probe treated `--input` as the positional input string.","The sample fixture returned an empty uppercase result because input became the flag token.","The command may exit successfully while doing the wrong thing.","Parse `--input` explicitly or remove it from docs and examples.","open","cli/kolm.js; local run probe"
"CEG-010","Spec check command","Verifier page says malformed specs are rejected by `kolm spec --check`.","CLI dispatch has no `spec` command; probe returns unknown command.","The page promises a validation path users cannot run.","Add `kolm spec --check` or change the page to `kolm compile --spec` validation.","open","public/cookbook/verifier-from-examples.html; cli/kolm.js"
"CEG-011","Artifact command wording","Several coding pages include `kolm artifact` wording or snippets.","CLI dispatch has no `artifact` command; probe returns unknown command.","Page copy implies an artifact command surface that is absent.","Remove or implement `kolm artifact` with tests.","open","public/cookbook; cli/kolm.js"
"CEG-012","JSON-LD HowTo duration","All detail pages include HowTo structured data with a five-minute flow and concrete compile/run commands.","The referenced specs and artifacts are absent, and several commands do not match CLI behavior.","Search snippets can advertise a non-reproducible workflow.","Generate JSON-LD only for verified recipes or mark illustrative steps clearly.","open","public/cookbook"
"CEG-013","K-score scale","Cookbook pages show normalized scores around 0.81 to 0.94.","Current fixture `kolm score` output shows composites in the hundreds for real artifacts.","K-score proof is not comparable across pages and CLI output.","Choose one K-score schema and migrate public pages plus artifact manifests.","open","public/cookbook; src/artifact.js; cli score output"
"CEG-014","Artifact size claims","Cookbook pages publish MB/GB artifact sizes.","Verified fixtures are about 3.2 KB to 4.9 KB; no page-specific large artifacts were found.","Size and deployment claims cannot be checked by users.","Publish artifact hashes and downloadable proof bundles or remove exact sizes.","open","public/cookbook; test/fixtures"
"CEG-015","Compile time claims","Cookbook pages publish compile times in minutes.","No compile logs or job receipts were found for those page-specific artifacts.","Compile-time numbers read as measured evidence without provenance.","Attach compile receipts or label values as target estimates.","open","public/cookbook"
"CEG-016","Device latency tables","Index and detail pages refer to M2, 5090, phone, and CPU-server latency profiles.","No per-page benchmark reports for those devices were found.","Performance proof can be challenged immediately by technical buyers.","Store benchmark reports and render tables from them.","open","public/cookbook; tests/artifact-end-to-end.test.js"
"CEG-017","Offline claims on cookbook pages","Detail metadata and copy repeatedly say signed and offline.","Only benchmark tests for the four fixtures assert zero egress; cookbook-specific artifacts are absent.","Offline claims lack recipe-specific proof.","Require zero-egress benchmark reports per verified cookbook recipe.","open","public/cookbook; tests/artifact-end-to-end.test.js"
"CEG-018","Receipt claims on cookbook pages","Pages show `signature=hmac-sha256` and signed receipt language.","Only real fixture artifacts provide local HMAC receipts; page-specific receipts are not published.","Receipts are invoked as proof without links to receipt material.","Publish receipt JSON and verification command per verified page.","open","public/cookbook; src/artifact.js; test/fixtures"
"CEG-019","Use-case page says shapes were shipped for","Live use-case page says the nine shapes are the shapes shipped for and each page links to worked examples/eval sets.","Cookbook proof assets and eval sets are not present for most shapes.","Positioning can overstate vertical readiness.","Change wording to target shapes or add proof links for each shipped shape.","open","https://kolm.ai/use-cases; public/use-cases/index.html"
"CEG-020","Regulated vertical recipes","Healthcare, finance, legal, edge, and web3 pages describe domain-specific gates and datasets.","No regulated eval corpus, verifier source, or artifact bundle was found for those pages.","Regulated buyers need stronger evidence and caveats.","Mark regulated pages as illustrative until proof bundles exist.","open","public/cookbook; public/cookbook.html"
"CEG-021","Builder scope","`scripts/build-all-examples.mjs` lists only four builders.","The builder scope matches the four public fixture artifacts and passes syntax checks.","This is reliable evidence for a small fixture set, not the cookbook.","Keep it as a verified fixture builder and add a separate cookbook builder.","solid","scripts/build-all-examples.mjs; scripts/build-example-*.mjs"
"CEG-022","Builder syntax","`node --check` passes for the public fixture builder scripts.","Builder files are syntactically loadable in Node.","Syntax is not a substitute for rebuilding all artifacts in CI.","Add deterministic rebuild checks only after confirming byte-stability expectations.","solid","scripts/build-all-examples.mjs; scripts/build-example-redactor.mjs; scripts/build-example-extractor.mjs; scripts/build-example-classifier.mjs"
"CEG-023","Cookbook command tests","Root tests include site route and public script checks but no cookbook command parser.","No test extracts cookbook commands and compares them to `kolm --help` or command dispatch.","Docs can drift without failing CI.","Add a command snapshot test for cookbook, docs, quickstart, and JSON-LD steps.","open","tests; public/cookbook"
"CEG-024","Structured data tests","No test validates cookbook JSON-LD commands against local files or CLI verbs.","Schema.org steps can remain stale even if visible copy is fixed.","Search-visible metadata can keep advertising broken commands.","Parse JSON-LD HowTo blocks in CI and verify referenced files or status labels.","open","public/cookbook; tests"
"CEG-025","Legacy demo runbook","The demo runbook contains stale deployment, old brand framing, old package import guidance, and old benchmark numbers.","It is not aligned with current live domain, package status, or artifact-first CLI proof.","Sales or demo prep can revive obsolete claims.","Archive it or rewrite as a current proof-based demo script.","open","DEMO.md"
"CEG-026","Cookbook install snippet","JSON-LD install steps use a GitHub-source npm install path.","That path is currently the realistic preview install path, but it is not the same as published package-manager claims elsewhere.","Install guidance can remain fragmented across docs and cookbook.","Centralize install snippets and render from release evidence.","open","public/cookbook; release-distribution-governance-matrix-2026-05-12.csv"
"CEG-027","Examples visibility","All 26 JSON examples are public-tagged.","They provide a reasonable public seed gallery for synthesis demos.","They should be discoverable separately from verified cookbook pages.","Create a public examples index with clear seed/example status.","solid","examples"
"CEG-028","Fixture benchmark coverage","The artifact end-to-end test benchmarks four fixtures with zero egress and 100 percent eval pass assertions.","Benchmark target is CI and fixture-local, not the device matrix shown in cookbook pages.","Strong fixture proof can be overextended into device claims.","Keep CI fixture benchmark and add separate device benchmark artifacts.","solid","tests/artifact-end-to-end.test.js"
"CEG-029","Cookbook proof provenance","Per-page K-score, size, time, and latency values are handwritten in HTML.","No machine-readable source of truth was found for those metrics.","Manual metric editing invites silent drift.","Replace handwritten values with a generated proof manifest.","open","public/cookbook"
"CEG-030","Launch gate","The cookbook can be deployed even when command snippets and proof files drift.","Current tests do not gate on cookbook reproducibility.","The highest-credibility buyer surface can regress silently.","Block public cookbook release on command, file, artifact, receipt, and benchmark checks.","open","public/cookbook; tests"
