"id","date","surface","evidence","enforcement_status","risk","recommended_action","source"
"BPM-001","2026-05-12","Plan catalog","`PLAN_CATALOG` defines free, starter, pro, teams, business, and enterprise with quotas and seats; `/v1/plans` returns this catalog.","implemented_catalog","The API has a single code catalog for plan ids, prices, quotas, and seats.","Export this catalog to docs/site generation to remove drift with static pages.","src/router.js:240"
"BPM-002","2026-05-12","Paid signup gating","Paid signup provisions the tenant on free quota, records `pending_plan`, and returns a Stripe Payment Link when configured.","partial","This prevents immediate paid quota access before payment, but tenants can remain in pending state when billing links are missing.","Expire pending plans and surface billing-not-configured distinctly from a real checkout flow.","src/router.js:314"
"BPM-003","2026-05-12","Stripe helper tests","`node --test tests/stripe.test.js` passed 10/10 outside the sandbox after sandbox spawn EPERM.","helper_tested","Signature, amount mapping, and checkout URL helper logic are unit-tested.","Keep helper tests and add route-level webhook tests with raw-body Express handling.","tests/stripe.test.js"
"BPM-004","2026-05-12","Stripe webhook signature","Webhook verifies `stripe-signature` with `STRIPE_WEBHOOK_SECRET` against raw body mounted by `server.js`.","implemented","The signature path is structurally correct for Stripe webhooks.","Add integration tests that unsigned, stale, tampered, and signed events hit `/v1/stripe/webhook` through Express.","src/stripe.js; server.js; src/router.js:1215"
"BPM-005","2026-05-12","Webhook pending-plan fallback","Local route smoke posted a signed `checkout.session.completed` with `amount_total:1234` and tenant `pending_plan:'enterprise'`; webhook activated enterprise and quota 10000000.","unsafe_fallback","P0/P1 revenue leakage: any signed Checkout Session in the Stripe account with the tenant id can activate an expensive pending plan even when the paid amount does not match.","Require amount/price/product metadata to match the target plan; never fall back to `pending_plan` without Stripe-side plan metadata validation.","src/router.js:1247; local smoke"
"BPM-006","2026-05-12","Checkout tenant matching","Checkout completion requires `client_reference_id`; `findTenantByEmail` is imported/commented for fallback but not used.","partial","If Payment Link parameters are stripped or misconfigured, paid checkout will not activate the tenant even when Stripe has the customer email.","Either remove the unused fallback claim or implement safe email fallback only when email is verified and pending plan matches.","src/router.js; src/auth.js"
"BPM-007","2026-05-12","Webhook idempotency","Webhook inserts `stripe_events` before tenant and plan validation, then returns warnings for missing tenant or plan.","partial","A malformed or misconfigured event id can become idempotent before the underlying billing issue is fixed, preventing simple replay.","Record processing status and allow safe reprocessing for warning/error events.","src/router.js:1239"
"BPM-008","2026-05-12","Subscription deleted","`customer.subscription.deleted` downgrades to free and marks cancelled, but does not clear `stripe_subscription_id` or `stripe_customer_id`.","partial","Account state can show stale Stripe identifiers after cancellation.","Null the deleted subscription id and preserve customer id only if needed for history.","src/router.js:1298"
"BPM-009","2026-05-12","Past-due enforcement","`invoice.payment_failed` and `customer.subscription.updated` mark `billing_status:'past_due'`, but auth/quota middleware does not restrict past-due tenants.","soft_warning_only","Past-due accounts can continue using paid quota until quota is exhausted or subscription is deleted.","Define grace period and enforcement behavior for past_due, unpaid, cancelled, and disputed states.","src/router.js:1280; src/auth.js"
"BPM-010","2026-05-12","Quota middleware","`authMiddleware` blocks when `t.used >= t.quota` and returns HTTP 429 `monthly quota exceeded`.","implemented_basic","Quota exists, but public API docs advertise 402 and some routes do not charge usage.","Align docs/status code, add route-level quota tests, and decide whether 402 or 429 is canonical.","src/auth.js; public/api.html"
