text,label_json
"How do I reset my password?","{""label"":""account_help"",""confidence"":0.96}"
"Your invoice for May is attached.","{""label"":""billing"",""confidence"":0.94}"
"Get rich quick! Buy our crypto now!!!","{""label"":""spam"",""confidence"":0.99}"
"Meeting moved to 3pm tomorrow.","{""label"":""scheduling"",""confidence"":0.92}"
"The app crashes when I open the settings page.","{""label"":""bug_report"",""confidence"":0.97}"
"Could you add a dark mode toggle?","{""label"":""feature_request"",""confidence"":0.95}"
"This product is amazing, love it!","{""label"":""positive_feedback"",""confidence"":0.93}"
"Worst purchase ever, total waste of money.","{""label"":""negative_feedback"",""confidence"":0.95}"
"Hello, just wanted to say hi.","{""label"":""uncertain"",""confidence"":0.55}"
"You won a free iPhone! Click here to claim.","{""label"":""spam"",""confidence"":0.98}"
"Can someone explain the pricing tiers?","{""label"":""sales_inquiry"",""confidence"":0.91}"
"Need to cancel my subscription effective immediately.","{""label"":""cancellation_request"",""confidence"":0.96}"
