"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"DOB-001","2026-05-12","Registry export","The public registry can be downloaded for browser/device execution.","`src/router.js` implements unauthenticated `GET /v1/registry/export` and exports public concept source plus metadata.","The route is real and intended for the on-device payload.","This is a useful browser-runtime foundation if execution and cache claims are narrowed.","Keep the route, add schema tests, and document source exposure as public-by-design.","solid","src/router.js"
"DOB-002","2026-05-12","Live export","The live public export contains runnable public recipes with hashes.","Live `https://kolm.ai/v1/registry/export` returned `spec=rs-1`, `recipes_n=26`, a registry hash, and 26 rows with `source_hash`.","Live export is populated with source hashes.","The trust-gate fallback has data today, but not bundle signatures.","Keep source hashes required and add signature/revocation metadata before calling the bundle signed.","solid","https://kolm.ai/v1/registry/export"
"DOB-003","2026-05-12","Service worker","The service worker file is syntactically valid.","`node --check .\public\sw.js` passed locally; live `https://kolm.ai/sw.js` fetched successfully and matched the local logic.","The service worker script itself parses.","A valid SW helps PWA readiness, but does not prove full offline runtime.","Keep syntax checks and add behavior tests for installed offline mode.","solid","public/sw.js; https://kolm.ai/sw.js"
"DOB-004","2026-05-12","PWA registration","The device page registers a service worker and links a manifest.","`public/device.html` links `/manifest.json` and calls `navigator.serviceWorker.register('/sw.js')`.","PWA wiring is present at the HTML level.","Registration success can be mistaken for offline readiness.","Change status text to distinguish registration from cache completeness.","solid","public/device.html; public/manifest.json"
"DOB-005","2026-05-12","Public HTML safety","Public registry strings are sanitized before rendering.","`src/registry.js` sanitizes concept names, descriptions, and tags; `/device` also has an `esc()` helper before innerHTML use.","There is a real defense-in-depth path for public registry display.","Public source still needs trust controls, but name/description rendering is not raw.","Keep sanitizer tests and avoid bypassing `esc()` in device rows.","solid","src/registry.js; public/device.html"
"DOB-006","2026-05-12","Node runtime sandbox","The Node artifact recipe path has a sandbox warning and safety scan.","`src/verifier.js` uses `node:vm`, blocks dangerous tokens, and says production should harden with isolated-vm or wasmtime.","The local artifact runtime is not claiming `node:vm` as a hard boundary in code comments.","This is an honest implementation note that should guide browser-worker language too.","Keep the caveat in public docs and continue sandbox hardening.","solid","src/verifier.js"
"DOB-007","2026-05-12","Forbidden public claims","Static tests already ban some unsupported mobile/runtime phrasing.","`tests/site.test.js` forbids `Mobile SDK` and `zero runtime egress` in public pages.","Some broad unsupported claims are guarded.","The test policy is useful but misses the actual browser asset failures.","Extend forbidden-claim policy with runnable-asset gates.","solid","tests/site.test.js"
"DOB-008","2026-05-12","Browser SDK","`/sdk.js` is importable by browser users.","`node --check .\public\sdk.js` fails at `_now()` on an invalid ternary-like expression.","The local browser SDK does not parse.","Any page or customer importing `/sdk.js` can fail before runtime code runs.","Fix the syntax corruption and require `node --check public/sdk.js` in CI.","open","public/sdk.js"
"DOB-009","2026-05-12","Current SDK asset","The current content-addressed SDK is safe to pin.","`public/sdk-current.json` points to `/sdk-c102c349da28.js`; `node --check .\public\sdk-c102c349da28.js` fails on the same `_now()` expression.","The current pinned browser SDK is broken locally.","Pinned users can be locked to a non-parsing asset.","Regenerate only after syntax checks and mark broken versions deprecated in the manifest.","open","public/sdk-current.json; public/sdk-c102c349da28.js"
"DOB-010","2026-05-12","SDK history","Older versioned SDK assets provide a fallback.","`node --check` failed for `sdk-4d6d60e67927.js` and `sdk-ef22b94a7a38.js`.","All local versioned SDK files checked in this pass are broken.","Rollback to an older local asset may not help users.","Keep a known-good asset and add version-manifest health fields.","open","public/sdk-4d6d60e67927.js; public/sdk-ef22b94a7a38.js"
"DOB-011","2026-05-12","SDK stamping","SDK versioning prevents invalid releases.","`scripts/build-sdk-version.js` copies `public/sdk.js`, computes hashes, and writes manifests without syntax validation.","A broken SDK can be stamped as current.","The release process can publish non-runnable SDK assets.","Run syntax/browser smoke checks before writing `sdk-current.json`.","open","scripts/build-sdk-version.js"
"DOB-012","2026-05-12","Worker runtime","`recipe-worker.js` runs recipe code in a browser Worker sandbox.","`node --check .\public\recipe-worker.js` fails at `let fn = sh - compiled.get(sh) : null`; live worker failed the same check.","The worker does not parse.","The intended sandbox cannot initialize, breaking local browser execution.","Fix worker syntax and add worker smoke tests.","open","public/recipe-worker.js; https://kolm.ai/recipe-worker.js"
