"id","date","surface","documented_contract","code_evidence","status","risk","recommended_action","source"
"ADC-001","2026-05-12","API reference coverage","`public/api.html` claims every endpoint and every schema.","The API page documents 25 paths; `src/router.js` exposes 84 `/v1` route declarations plus `/health` and `/ready`.","coverage_gap","Developers and agents cannot use the API reference as the source of truth.","Generate the API reference from a route manifest or downgrade the copy to a curated subset.","public/api.html; src/router.js"
"ADC-002","2026-05-12","Public/auth endpoints","API reference omits several public/auth endpoints.","Omitted examples include `/v1/pricing`, `/v1/anon/bootstrap`, `/v1/anon/claim`, `/v1/public/concepts`, `/v1/public/run`, `/v1/public/featured`, `/v1/spec`, `/v1/signout`, and session login/logout.","coverage_gap","Critical onboarding and no-key public runtime flows are undocumented or only documented elsewhere.","Add all public/auth endpoints with auth status, abuse limits, request shapes, and response examples.","public/api.html; README.md; src/router.js"
"ADC-003","2026-05-12","Core recipe/concept endpoints","API reference omits most synthesis, concept, recipe, and bridge routes.","Omitted examples include `/v1/synthesize`, `/v1/synthesize/batch`, `/v1/verify`, `/v1/publish`, `/v1/concepts`, `/v1/recipes`, `/v1/search`, `/v1/compose`, `/v1/bridges/*`, and `/v1/memory/recall`.","coverage_gap","The most important product APIs are only partially discoverable from `/api`.","Document the full concept/recipe lifecycle or mark it internal/legacy in a generated manifest.","public/api.html; src/router.js"
"ADC-004","2026-05-12","Admin and billing endpoints","API reference omits admin, diagnostics, Stripe webhook, public submit, jobs, telemetry, and library routes.","Router exposes `/v1/admin/*`, `/v1/stripe/webhook`, `/v1/public/submit`, `/v1/jobs/:id`, `/v1/telemetry`, and `/v1/library`; many are absent from `/api`.","coverage_gap","Operators lack accurate HTTP docs for staff and webhook behavior.","Create public, authenticated, admin, webhook, and internal sections with stability labels.","public/api.html; src/router.js"
"ADC-005","2026-05-12","Error envelope","API reference says every endpoint returns JSON errors shaped `{error, code, request_id}`.","Most code paths return only `{error}` or ad hoc JSON; Stripe webhook returns `text/plain`; no common request_id middleware was found.","contract_mismatch","SDKs that rely on documented machine error fields will fail or lose traceability.","Standardize error middleware or revise docs to exact route-specific shapes.","public/api.html; src/router.js"
"ADC-006","2026-05-12","Authentication docs","API reference says bearer auth on private endpoints and names public endpoints narrowly.","Auth middleware also accepts `X-API-Key`, `Authorization`, cookies, and query-string API keys; public-by-placement and allowlisted routes exceed the docs list.","auth_docs_gap","Developers do not see actual credential precedence or query-key deprecation/security posture.","Document accepted auth mechanisms and planned query-key removal; generate public/protected route manifest.","public/api.html; src/auth.js; auth-boundary-audit-2026-05-12.md"
"ADC-007","2026-05-12","GET /v1/account response","Docs show a `usage` object with `compiles_30d` and `calls_30d`.","Code returns `used`, `remaining`, pending/billing/Stripe fields, OAuth provider flags, and no `usage` object.","response_mismatch","Account dashboard or SDK clients built from docs will parse missing fields.","Update docs or route shape and add a snapshot test for account response.","public/api.html; src/router.js:1115"
"ADC-008","2026-05-12","POST /v1/account/change-plan response","Docs show a nested `tenant` object, active target plan, quota, seats, billing URL, and billing required flag.","Code returns `{ok, plan: currentPlan, pending_plan, billing_url, billing_required, message}` for paid plans and free-specific fields for downgrades.","response_mismatch","Billing clients can show the wrong current plan or expect a tenant object that is not returned.","Document pending-plan semantics and exact response shape, including 503 billing-not-configured.","public/api.html; src/router.js:1152"
"ADC-009","2026-05-12","POST /v1/account/cancel semantics","Docs say cancellation drops to free at the end of the paid period and returns `downgrades_to`/`effective_at`.","Code immediately updates plan to free, clears Stripe subscription id best-effort, and returns `{ok, plan, stripe_cancelled, message}`.","semantic_mismatch","Customers receive different cancellation timing than the API reference promises.","Choose immediate versus period-end cancel semantics and align code, docs, and tests.","public/api.html; src/router.js:1334"
"ADC-010","2026-05-12","POST /v1/account/delete contract","Docs require `{confirm}` and return `deleted_at`.","Route does not inspect `confirm`; it soft-deletes tenant and returns `{ok, message}` without `deleted_at`.","response_and_safety_mismatch","API callers can delete without server-side confirmation, and clients expecting `deleted_at` break.","Enforce confirmation server-side or remove it from docs; return stable deletion metadata.","public/api.html; src/router.js:1370"
"ADC-011","2026-05-12","Compile job identifiers","Docs use `cmp_` ids and statuses such as `ready`; code creates `job_` ids and statuses queued/running/completed/failed.","`createJob()` prefixes `job_`; `/v1/compile/:id` adds `artifact_url` when status is completed.","response_mismatch","Client polling code generated from docs can use wrong id/status expectations.","Update examples to real `job_` status vocabulary or change code intentionally.","public/api.html; src/compile.js"
"ADC-012","2026-05-12","POST /v1/compile request","Docs include fields such as `mode` and imply k-sample/frontier orchestration details.","Route accepts `task`, `examples`, `corpus_namespace`, `base_model`, and `deploy_hook`; `mode` is ignored and examples are capped at 200.","request_mismatch","Users can send documented fields that do nothing while missing real constraints.","Document accepted fields, limits, serverless sync mode, and deploy hook behavior.","public/api.html; src/router.js:837"
"ADC-013","2026-05-12","Compile list/get response","Docs show list rows with `id`, `status: ready`, `size_mb`, and compact K-score values.","Code returns persisted compile job objects with artifact bytes, manifest, k_score, stages, progress, timestamps, and no `size_mb` field.","response_mismatch","Dashboards or SDKs built from docs will need undocumented fallback parsing.","Add response snapshots and generate examples from fixtures.","public/api.html; src/router.js:889"
"ADC-014","2026-05-12","Artifacts docs","API reference documents only `GET /v1/artifacts` in detail.","Router also exposes `GET /v1/artifacts/:id` and `GET /v1/artifacts/:id/download`; README lists them but `/api` does not.","coverage_gap","Artifact retrieval clients must infer detail/download endpoints from README or code.","Add artifact detail/download schemas, errors, and content-type behavior to `/api`.","public/api.html; README.md; src/router.js"
"ADC-015","2026-05-12","Registry export format","API reference says `/v1/registry/export` is a bulk NDJSON export.","Code returns a JSON envelope with `spec`, `exported_at`, `registry_hash`, `recipes_n`, `total_bytes`, and `recipes`.","format_mismatch","Consumers expecting NDJSON will fail to parse the public registry export.","Change docs to JSON envelope or add an NDJSON format option.","public/api.html; src/router.js:628"
"ADC-016","2026-05-12","Receipts verify errors","API reference documents 409 signature mismatch and 410 rotated secret errors.","Route returns 200 JSON for invalid signatures/reasons and 503 when the receipt secret is missing; it does not emit 409/410 in the current code path.","status_mismatch","Client error handling built from docs will be wrong and tests may miss invalid receipt states.","Document actual success/invalid envelope or change route to status-code semantics intentionally.","public/api.html; src/router.js:492"
"ADC-017","2026-05-12","Receipts verify response","Docs show `{verified, reasons, mode}` as the full response.","Legacy `rs-1` receipt verification returns `{verified, valid, checks, receipt, reasons}`; v0.1 returns receipt metadata; no-receipt returns `{verified:false,reasons}`.","response_mismatch","SDKs cannot rely on one documented response shape.","Define one receipt-verify schema with union variants and examples for drive-by, v0.1, and legacy receipts.","public/api.html; src/router.js"
"ADC-018","2026-05-12","Capture storage wording","API docs say every forwarded call records an `(input, output)` pair and says upstream keys are stripped before logging.","Code does not store upstream keys, but stores prompt text and response text in `observations`; errors can also be stored as response strings.","privacy_contract_gap","Docs understate raw prompt/response retention and overstate pair-only storage.","Document raw text retention, limits, errors, purge controls, and opt-out/redaction behavior.","public/api.html; src/router.js:2269"
"ADC-019","2026-05-12","Auto-distill success path","Docs show a 200 success response with `distill_` job id and status URL.","Code returns 400 below 1000 captures, 503 when trainer bridge is missing, and only posts to a bridge when configured; no local status route was found for the documented URL.","preview_contract_gap","Preview route examples may look generally available when most environments return 503.","Lead with 503/operator requirements and document bridge response passthrough exactly.","public/api.html; src/router.js:2418"
"ADC-020","2026-05-12","GET /health in API docs","API docs show `/health` liveness with stats and version.","Router also has authenticated `/v1/health` with fuller runtime/readiness detail, but `/api` omits it; README mentions `/v1/health`.","coverage_gap","Operators can miss the richer authenticated health snapshot.","Add `/v1/health` alongside `/health` and `/ready`, with auth status and response shape.","public/api.html; README.md; src/router.js:808"
"ADC-021","2026-05-12","Docs live-output claim","`public/docs.html` claims every example is real captured production output from `kolm.ai` on 2026-05-11.","Several examples/response shapes conflict with current local route behavior found in this audit and SDK audit.","credibility_gap","A dated live-output claim becomes high-risk unless examples are regenerated from tests.","Generate docs examples from live/local smoke fixtures and store the capture date and commit/deploy id.","public/docs.html; api-docs-contract-matrix-2026-05-12.csv"
"ADC-022","2026-05-12","Package install in docs","Docs show multiple install paths and package names across README, docs, quickstart, and SDK references.","SDK/CLI audit already found root package/private metadata and docs install names are fragmented.","dx_contract_gap","Users can start from API docs but install a package path that does not match the working CLI surface.","Tie docs to one tested quickstart command and run it in CI.","public/docs.html; README.md; sdk-cli-integration-audit-2026-05-12.md"
"ADC-023","2026-05-12","OpenAPI/schema claim","API page metadata says every request schema and response schema exists; the page is hand-authored HTML, not generated OpenAPI.","No OpenAPI file, route manifest, or schema generation path was found in this slice.","governance_gap","Manual docs will keep drifting as routes grow.","Add OpenAPI or JSON route manifest generated from code and use it for SDK/docs/tests.","public/api.html; src/router.js"
