"id","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"TEG-001","Tune init creates local adapter state.","`kolm tune init` docs describe a zero-init LoRA skeleton and per-artifact config.","`src/tune.js` writes `tune-config.json`, `revisions/v0/adapter_config.json`, and `HEAD`.","The preview has a concrete local state foundation.","Keep init/status as the stable base and add tests around file layout.","solid","src/tune.js; docs/TUNE.md"
"TEG-002","Capture toggle appends local run signal.","Docs say successful `kolm run` calls append input/output rows when captures are on.","`appendCapture` writes `ts`, `input`, `output`, `recipe`, and `latency_us` to `captures.jsonl`.","The basic data path exists but stores sensitive raw data.","Keep the mechanism, then add governance controls before enterprise positioning.","solid","src/tune.js; docs/TUNE.md"
"TEG-003","Airgap trainer mode has implemented guards.","The evolve page and TUNE docs describe offline env flags and local model paths.","`runTuneStepWith` and `tune-step.py` set offline flags; the trainer rejects missing or remote-looking base paths in airgap mode.","Explicit `--airgap` has meaningful preview safeguards.","Add a network-denial smoke before broader no-phone-home claims.","solid","src/tune.js; scripts/tune-step.py; public/evolve.html"
"TEG-004","Trainer source is syntactically valid.","The tune docs identify `scripts/tune-step.py` as the PEFT trainer.","`python -m py_compile scripts/tune-step.py` passed, and the script has dependency-missing exit paths.","The trainer is a credible preview implementation if dependencies and base model exist.","Add an install probe and a tiny integration fixture.","solid","scripts/tune-step.py; docs/TUNE.md"
"TEG-005","Docs disclose adapter-blind eval in the body.","`docs/TUNE.md` says eval runs deterministic recipes as-is; the evolve page labels adapter-driven K-score improvement as target architecture.","The caveat matches the current deterministic recipe runner limitation.","This honesty is good but not yet reflected in metadata, hero, and sample metrics.","Propagate the caveat to all prominent tune claims and examples.","solid","docs/TUNE.md; public/evolve.html"
"TEG-006","Evolve metadata and hero overstate current shipped behavior.","Meta and hero copy say local fine-tune, living local model, every promotion through the K-score gate, and nothing phones home.","Body copy later caveats adapter-driven improvement as target architecture.","Search snippets and first-screen copy can imply shipped adapter improvement.","Narrow meta, OG, hero, and terminal examples to preview scope.","open","https://kolm.ai/evolve; public/evolve.html"
"TEG-007","Tune eval cannot currently see embedded eval cases through `inspectArtifact`.","A sample fixture has embedded evals in the artifact runner path.","`evalRevision` reads `info.evals || []`, while `inspectArtifact` returns `evals_n` only; a local probe returned `pass: 0/0`.","Promotion can be gated on an empty eval set even when artifacts have evals.","Load eval cases from the bundle or reuse `evalArtifact()` with a revision-aware adapter path.","open","src/tune.js; src/artifact-runner.js; local evalRevision probe"
"TEG-008","Tune eval ignores the requested revision.","CLI and docs present `--rev vN` as scoring a candidate revision.","`evalRevision` returns the revision label but never loads files from `revisions/<rev>`.","Scores do not prove candidate adapter behavior.","Wire revision loading into the runtime or rename the command to artifact re-check.","open","src/tune.js; cli/kolm.js; docs/TUNE.md"
"TEG-009","Adapter output does not influence deterministic recipe eval.","The evolve page says adapter-driven K-score improvement is target architecture.","`runArtifact` executes packaged deterministic recipes; no adapter is passed into recipe execution.","A promoted adapter may have no user-visible effect on current artifacts.","Gate public claims on an LM-backed recipe path or keep tune as target architecture.","open","src/tune.js; src/artifact-runner.js; public/evolve.html"
"TEG-010","Public terminal sample K-score is not generated by the current eval path.","The evolve page shows `K-score 0.93` with `pass 14/15`.","A direct `evalRevision` probe on `sample.kolm` returned `K-score 0.4415` and `pass 0/0`.","Public examples can look like proof while not matching shipped behavior.","Generate terminal samples from checked fixture commands.","open","public/evolve.html; local evalRevision probe"
"TEG-011","Promotion does not enforce `require_improvement`.","Config defaults include `require_improvement: true`, and docs say candidates must beat current head when enabled.","`promoteRevision` assigns `headK` from the candidate and never compares against current head.","A non-improving candidate can be promoted if it clears `k_min`.","Implement current-head comparison and regression tests.","open","src/tune.js; docs/TUNE.md"
"TEG-012","Promotion only flips local state files.","Comments and product wording imply promotion into the artifact, signature, and serving state.","`promoteRevision` writes `HEAD` and `head.prev`; it does not alter the `.kolm` bundle or reload serve.","Users may expect a promoted artifact to be portable when only local tune state changed.","Define promotion semantics and expose them in status, receipts, and docs.","open","src/tune.js; public/evolve.html"
"TEG-013","CLI eval prints a hardcoded gate value.","Tune config is user-editable and includes `gate.k_min`.","`cli/kolm.js` prints `gate=0.85` in eval output rather than the artifact tune config value.","Operators can misread pass/fail policy after editing config.","Read and render the configured gate.","open","cli/kolm.js; src/tune.js; docs/TUNE.md"
"TEG-014","K-score gate is fragile around no-eval results.","The formula gate is 0.85 and public examples show pass counts.","The current probe produced 0 coverage, 0 accuracy, and composite 0.4415 because no cases were loaded.","A gate failure can reflect plumbing, not model quality.","Fix eval-case loading before using tune scores for promotion decisions.","open","src/tune.js; src/artifact.js; local evalRevision probe"
"TEG-015","Watcher automates the same flawed eval and promote path.","Docs describe `tune watch` as step, eval, and gated promote.","`watchAndEvolve` runs `runTuneStep`, `evalRevision`, then `promoteRevision` when K clears the gate.","Autonomy can amplify incorrect promotion decisions.","Disable auto-promote by default or require fixed eval semantics first.","open","src/tune.js; docs/TUNE.md; public/evolve.html"
"TEG-016","Watcher lacks process coordination controls.","Docs suggest running under an external supervisor for long-running use.","`watchAndEvolve` uses `setInterval`, appends JSONL, and has no lock, PID file, exponential backoff, or duplicate-run guard.","Multiple watchers can race training and promotion state.","Add locking, retry policy, and process-state diagnostics.","open","src/tune.js; docs/TUNE.md"
"TEG-017","Watcher ignores configured sample size.","Init writes `watch: { threshold_rows: 200, sample_size: 32 }`.","`watchAndEvolve` checks only `threshold_rows`; `sample_size` is never used.","Users can configure a value that does not affect training selection.","Implement sampling or remove the field.","open","src/tune.js"
"TEG-018","Captures persist raw inputs and outputs.","Docs say every successful run records input and output.","`appendCapture` writes raw `input` and `output` values into local JSONL.","Sensitive production content can become training data without controls.","Add redaction, retention, encryption, opt-in, and purge semantics.","open","src/tune.js; docs/TUNE.md"
"TEG-019","Capture governance is not tenant- or policy-aware.","The product frames captures as production training signal.","Local tune captures have no policy labels, consent state, retention class, source id, or deletion audit.","Enterprise buyers will ask how captured data is governed.","Define a local capture schema and lifecycle policy.","open","src/tune.js; docs/TUNE.md"
"TEG-020","Missing trainer override hint is unsupported.","Error text says to set `KOLM_TUNE_TRAINER` when the trainer is missing.","`runTuneStep` checks cwd and install-dir paths but never reads `process.env.KOLM_TUNE_TRAINER`.","Troubleshooting guidance can send users down a dead path.","Implement the env var or remove the hint.","open","src/tune.js"
"TEG-021","Trainer exit code 64 is flattened by the CLI.","`docs/TUNE.md` documents exit code 64 for missing Python dependencies.","`cmdTune` catches `runTuneStep` errors and calls `process.exit(1)` for all step failures.","Automation cannot distinguish missing dependencies from ordinary failure.","Preserve trainer status codes in thrown errors and CLI exits.","open","cli/kolm.js; scripts/tune-step.py; docs/TUNE.md"
