"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"CDG-001","2026-05-12","Capture auth","Capture and distill routes are tenant-scoped.","Routes are declared after `r.use(authMiddleware)` or include `authMiddleware`.","Public unauthenticated callers cannot use capture, label export, bridge, or auto-distill routes.","This is a solid base for tenant-scoped capture governance.","Keep auth and add route-specific contract tests.","solid","src/router.js"
"CDG-002","2026-05-12","Provider keys","Upstream provider keys are not persisted.","Capture routes read `x-upstream-api-key`; `recordCapture` stores prompt, response, model, provider, status, and namespace but not the key.","The main secret is not stored in observation rows.","This part of the public claim is supported by source.","Add tests proving provider keys do not appear in stored observations or logs.","solid","src/router.js; src/capture.js"
"CDG-003","2026-05-12","Raw data retention","Raw bodies age out to hashes only.","`public/captures.html` says raw bodies older than the retention window become hashes only.","`recordCapture` stores prompt slices and response content; no retention window or hash-only expiry was found.","Privacy and procurement claims can be contradicted by stored observations and label export.","Implement retention policy or remove hash-only retention wording.","open","public/captures.html; src/router.js"
"CDG-004","2026-05-12","Namespace schema","Capture namespaces are consistent across inbox, labels, and distill.","Provider capture stores `corpus_namespace`; the inbox filters and displays `namespace`.","Proxy captures can appear as `default` in the inbox while labels/auto-distill count by `corpus_namespace`.","The UI can report readiness for a namespace that auto-distill will not count.","Normalize observation namespace fields and migrate old rows.","open","src/router.js"
"CDG-005","2026-05-12","Triage binding","Discard removes a row from training.","The inbox updates `discarded` and hides discarded rows by default.","Label export and auto-distill ignore `discarded` and `kept` fields.","Users can discard a row and still have it exported or counted for distill.","Filter labels/distill to kept and non-discarded rows by default.","open","public/captures.html; src/router.js"
"CDG-006","2026-05-12","Training quality","Failed provider calls do not become training pairs.","Missing upstream keys return a 401 upstream-shaped error.","Capture routes still call `recordCapture` with an error response and status 401.","Error messages can become labels and count toward the 1,000-pair threshold.","Do not record non-2xx captures by default or mark them excluded from training.","open","src/router.js; src/capture.js"
"CDG-007","2026-05-12","Label export","Labels export only curated pairs.","`/v1/labels/synthesize-corpus` returns all matching observations for a namespace.","It does not require `kept`, exclude `discarded`, or exclude non-2xx status rows.","Exported corpora can contain rejected, noisy, or failed examples.","Add `include_discarded`, `include_errors`, and kept-only defaults.","open","src/router.js"
"CDG-008","2026-05-12","Auto-distill readiness","Auto-distill counts the same rows the inbox marks ready.","Inbox readiness counts `!discarded` rows by `namespace`; auto-distill counts all rows by `corpus_namespace`.","The two readiness paths can disagree for proxy captures and discarded rows.","A ready button can fail or distill the wrong corpus.","Use one readiness helper shared by inbox, labels, CLI, and auto-distill.","open","src/router.js; public/captures.html; cli/kolm.js"
"CDG-009","2026-05-12","Capture clustering","Proxy captures cluster repeated templates.","Direct observe uses `templateSignature`; provider capture uses `promptHash(prompt + model)`.","Proxy captures cluster exact prompt+model strings, not variable templates.","Capture suggestions miss repeated task shapes with varying inputs.","Use the same template signature for proxy and direct observations.","open","src/router.js; src/capture.js"
"CDG-010","2026-05-12","Direct observe limits","Direct observations are storage-safe.","`/v1/bridges/observe` slices prompt to 4,000 characters.","It stores `response` without a visible size cap and has no namespace field.","Large responses can bloat storage and cannot enter namespace-specific distill cleanly.","Cap response size and add namespace/corpus metadata.","open","src/router.js"
