"id","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"PHG-001","Public schema strictness","Live schema requires `kolm_yaml_version`, `name`, and `artifacts`, and forbids additional properties.","`parseProjectYaml` defaults missing fields and ignores unknown fields without validation.","A file can appear schema-invalid yet still drive runtime behavior.","Add schema validation and make CLI/MCP use the validated result.","open","https://kolm.ai/docs/kolm-yaml-v0.1.json; src/project.js"
"PHG-002","Runtime parser scope","`src/project.js` says it hand-parses only the subset read at runtime.","The parser does not implement full JSON-schema/YAML behavior and silently skips malformed lines.","Docs can promise config shapes that runtime ignores.","Document the supported subset or adopt a real YAML parser plus schema validator.","open","src/project.js; public/docs/kolm-yaml-v0.1.json"
"PHG-003","Hook schema item type","Schema hook arrays accept string items only.","`src/hooks.js` supports strings, inline lists, and flow objects with `command` and `timeout_ms`; `docs/HOOKS.md` documents objects.","Valid documented hooks can fail schema validation.","Update schema to include hook object forms or remove object docs.","open","public/docs/kolm-yaml-v0.1.json; src/hooks.js; docs/HOOKS.md"
"PHG-004","Hook stdout mutation","Live schema says stdout JSON may modify the event with `additionalContext` or `updatedInput`.","Runtime captures stdout but never parses or applies event mutations.","Policy and redaction hooks cannot actually rewrite inputs despite schema wording.","Implement a tested mutation schema or delete the claim.","open","public/docs/kolm-yaml-v0.1.json; src/hooks.js"
"PHG-005","Hook command execution","Docs describe hooks as policy, telemetry, registry push, and safety interposition.","Runtime executes hook strings through `cmd /c` or `/bin/sh -c` with project root as cwd.","Project files become local arbitrary command execution surfaces.","Add trust warnings, `doctor --hooks`, and explicit review/dry-run output before applying untrusted project configs.","open","src/hooks.js; docs/HOOKS.md; https://kolm.ai/docs"
"PHG-006","Hook blocking semantics","Docs say exit code 2 blocks and other non-zero codes warn.","Runtime blocks only on exit code 2; all other failures continue.","Policy hooks can fail open unless authors know to exit exactly 2.","Provide blocking/advisory modes and make Pre* policy hooks fail closed by default.","open","src/hooks.js; docs/HOOKS.md"
"PHG-007","Hook timeout semantics","Hooks have timeout support and default to 30 seconds.","Timeouts finish as exit code 124 and therefore continue as advisory failures.","A hung or timed-out policy hook can let compile/run/bench proceed.","Treat timeouts as blocking for Pre* hooks or require explicit advisory mode.","open","src/hooks.js"
"PHG-008","Global hook bypass","`KOLM_HOOKS_OFF=1` disables all hooks.","Bypass returns skipped with no persistent audit row.","A local environment variable can bypass policy without traceability.","Log hook bypasses and make doctor display the bypass state.","open","src/hooks.js; cli/kolm.js"
"PHG-009","Hook output logging","CLI prints hook result tails and stores stdout/stderr in memory.","Outputs are truncated to 4000 chars and not written to a durable project audit log.","Policy evidence can be lost and stderr can leak secrets into terminal logs.","Add structured hook audit rows with redaction and retention policy.","open","src/hooks.js; cli/kolm.js"
"PHG-010","YAML arrays","Schema defines arrays for `allowed-tools`, `paths`, and hooks.","Runtime only supports simple inline list parsing for project fields and a limited block parser for hooks.","Schema-valid block arrays can be ignored by runtime.","Add parser tests for schema examples and reject unsupported forms loudly.","open","src/project.js; src/hooks.js; public/docs/kolm-yaml-v0.1.json"
"PHG-011","Auto-attach paths","Live build-your-own says path globs auto-attach artifacts when agents edit matching files.","Runtime parses `paths` and includes them in private MCP metadata, but no harness auto-attach logic was found.","Users can expect agent routing behavior that is not implemented.","Mark paths as metadata only or implement harness-specific auto-attach tests.","open","https://kolm.ai/build-your-own; src/project.js; services/mcp/server.js"
"PHG-012","Allowed tools governance","Schema and sidecar copy describe `allowed-tools` as the tools a sub-agent may call.","Project parser stores `allowed_tools`, but MCP strips metadata from wire output and generated sidecars hardcode `allowed-tools: []`.","The config implies tool permissions that are not enforced.","Either enforce allowed tools in harness sidecars/MCP or remove the governance claim.","open","src/project.js; services/mcp/server.js; cli/kolm.js"
"PHG-013","K-score gate scale","Schema caps `k_min` at 1 and generated comments show `k_min: 0.85`.","Current fixture artifacts report K-score composites in the hundreds; MCP compares raw composite to `k_min`.","The default-looking floor does not filter current artifacts.","Normalize K-score or migrate manifests before using `k_min` as a gate.","open","public/docs/kolm-yaml-v0.1.json; cli/kolm.js; services/mcp/server.js"
"PHG-014","SSE transport","Schema allows `mcp.transport: sse` and generated comments mention an SSE port.","CLI serve implements `--mcp` with optional `--http`; MCP server implements stdio and HTTP JSON-RPC only.","Config can declare a transport that cannot run.","Remove SSE from schema/comments until implemented and tested.","open","public/docs/kolm-yaml-v0.1.json; cli/kolm.js; services/mcp/server.js"
"PHG-015","Project mcp config use","Schema defines `mcp.transport`, `host`, and `port`.","`cmdServe` reads CLI flags for `--http` and `--port`; it does not apply project `mcp` config.","`kolm.yaml` can appear to configure serve behavior while being ignored.","Make serve load project mcp config or document flags as the only active controls.","open","cli/kolm.js; src/project.js"
"PHG-016","Doctor wiring claims","Live build-your-own says `kolm doctor` verifies wiring.","`cmdDoctor` checks config, API key, cloud health, receipt secret, Node, Docker, optional Anthropic key, project config, and artifact counts.","Doctor does not smoke installed harness configs, MCP initialize/list, hooks, sidecars, or `k_min`.","Add harness/MCP/hook checks or narrow the wording.","open","https://kolm.ai/build-your-own; cli/kolm.js"
"PHG-017","Init example scaffold","Live docs snippet says `kolm init` scaffolds `kolm.yaml` plus examples.","`cmdInit` writes `kolm.yaml`, creates `.kolm/artifacts` and `.kolm/skills`, and updates `.gitignore`; it does not create examples.","First-run docs can overpromise generated files.","Fix docs or add example scaffolding.","open","https://kolm.ai/docs; cli/kolm.js"
"PHG-018","Init local dirs","`cmdInit` creates `.kolm/artifacts` and `.kolm/skills`.","Implementation matches build-your-own page output for the local working dirs.","This part of project bootstrap is reliable.","Keep and add an init smoke test to freeze behavior.","solid","cli/kolm.js; https://kolm.ai/build-your-own"
"PHG-019","Gitignore update","Build-your-own page shows `.gitignore` updated with `.kolm/`.","`cmdInit` appends `.kolm/` when a git repo or `.gitignore` exists and avoids ignoring `kolm.yaml`.","Good local artifact hygiene, but untested.","Add a non-destructive init fixture test.","solid","cli/kolm.js"
"PHG-020","Skill sidecar emission","Build-your-own says every compile emits a SKILL.md sidecar next to the artifact or under `skills_dir`.","Compile paths call `writeSkillSidecar` unless `--no-skill` is passed.","Sidecar emission is real but the sidecar content has drift.","Keep behavior, but generate from validated project config.","solid","cli/kolm.js; https://kolm.ai/build-your-own"
"PHG-021","Skill sidecar egress guarantee","Generated sidecar says runtime egress is patched at the process boundary.","Egress monitor is implemented in benchmark code, not in `kolm run` or MCP calls.","Generated proof text can overstate run-time isolation.","Rewrite sidecar guarantee or move egress monitor into runtime.","open","cli/kolm.js; src/benchmark.js; src/artifact-runner.js"
"PHG-022","Hook tests","Search of `tests/` found no focused hook or project parser tests.","Root suite does not cover `parseProjectYaml`, `parseHooksBlock`, `runHooks`, `KOLM_HOOKS_OFF`, or hook blocking.","Parser and policy drift can ship silently.","Add unit tests with temp project dirs and fake hook scripts.","open","tests; src/hooks.js; src/project.js"
"PHG-023","MCP syntax health","`node --check` passes for `services/mcp/server.js`.","The service file is syntactically valid.","Syntax health does not prove transport or config behavior.","Add protocol smoke tests for stdio and HTTP with project config.","solid","services/mcp/server.js"
"PHG-024","Project/hook syntax health","`node --check` passes for `src/hooks.js` and `src/project.js`.","Core config files are syntactically valid.","Semantic drift remains untested.","Pair syntax checks with parser fixtures.","solid","src/hooks.js; src/project.js"
"PHG-025","Duplicate project parsers","CLI has `findProjectKolmYaml` for sidecars while `src/project.js` has the main project parser.","Sidecar generation only reads `name` and `skills_dir`, not artifact metadata or allowed tools.","Two parsers can drift and produce different project behavior.","Use `src/project.js` everywhere.","open","cli/kolm.js; src/project.js"
"PHG-026","Parent-directory discovery","Hooks and project config walk up from cwd looking for `kolm.yaml`.","A command inside a nested directory can execute hooks from an ancestor project.","This is convenient but risky in untrusted checkouts.","Display discovered project root before running hooks and add a `--no-hooks` CLI flag.","open","src/hooks.js; src/project.js"
"PHG-027","No persistent hook inventory","Doctor does not list which hook commands would run.","Users cannot easily audit hook side effects before compile/run/bench.","Untrusted project configs can surprise users.","Add `kolm doctor --hooks` or `kolm hooks list`.","open","cli/kolm.js; src/hooks.js"
"PHG-028","Live schema availability","Live `kolm-yaml-v0.1.json` returns HTTP 200.","The public schema is reachable and parseable.","Availability is good, but contract drift remains.","Keep the schema URL and make it the actual validation source.","solid","https://kolm.ai/docs/kolm-yaml-v0.1.json"
"PHG-029","Local-only claim","Live build-your-own says no daemons, dashboards, or telemetry leaving the box.","`kolm doctor` reaches the configured cloud health endpoint; hooks can run arbitrary telemetry commands; `kolm install` writes harness configs.","The page can overstate local-only behavior for all commands.","Clarify which commands are local-only and which contact cloud or run user hooks.","open","https://kolm.ai/build-your-own; cli/kolm.js; src/hooks.js"
"PHG-030","Release gate","No CI gate validates project config/schema/hook docs against runtime.","The root suite did not include focused tests for this surface.","Local policy automation can regress without detection.","Add schema, parser, hook execution, doctor, sidecar, and MCP config tests.","open","tests; public/docs/kolm-yaml-v0.1.json; src/hooks.js; src/project.js"
