"id","date","area","fixture_or_surface","langfuse_source_truth","kolm_target","acceptance_or_loss_rule","risk","recommended_action","status","sources"
"LFI-001","2026-05-13","CLI Surface","kolm import langfuse command","Local CLI exposes capture labels distill and no import dispatcher branch.","Fixture-only importer entry point that writes normalized JSONL manifest and loss report.","Command help and dispatch test must prove fixture mode exists before any live API fetch.","A hidden API-first connector would make privacy and loss behavior hard to test.","Add a fixture-only command contract before credential or network support.","solid","cli-langfuse-fixture-current; langfuse-importer-fixture-spec-2026-05-13.md"
"LFI-002","2026-05-13","Current Capture Gap","kolm capture and labels export","Current capture stores flattened prompt and response rows with corpus_namespace while bridge filters use namespace.","Separate importer rows from existing observations until namespace and structure are normalized.","Fixture output must not insert directly into current observations or labels export.","Reusing current capture rows would lose hierarchy scores datasets and retention state.","Keep import output sidecar-based until trace schemas are implemented.","solid","src-router-langfuse-fixture-current; src-capture-langfuse-fixture-current; langfuse-importer-fixture-spec-2026-05-13.md"
"LFI-003","2026-05-13","Access Model","public API and SDK access","Langfuse documents API and SDK query access using project keys and region-specific hosts.","Source connector configuration without persisted secrets for fixture mode.","Fixture test must prove no credential field is required or written in fixture mode.","Credential handling can leak into manifests before privacy gates exist.","Keep fixture command offline and add a later credential-source spec.","open","langfuse-public-api-current-2026-05-13; langfuse-query-sdk-current-2026-05-13"
"LFI-004","2026-05-13","Observation Export","observations-v2.json","Langfuse Observations API v2 supports field groups for core basic time IO metadata model usage prompt and metrics.","kolm-trace-1 observation rows with metrics IO and prompt refs.","Expected normalized output must show group fields preserved or explicitly lost by path.","Field-group selection can silently omit cost latency prompt or IO.","Fixture must include full and minimal field-group examples.","open","langfuse-observations-api-current-2026-05-13"
"LFI-005","2026-05-13","Pagination","observations page boundary","Langfuse observation query returns cursor-paginated rows and documents a high page limit.","Importer manifest page_refs and complete_source_window flag.","Fixture must contain at least two pages and fail if final cursor is not consumed.","Partial imports can look successful while missing late rows.","Add cursor pagination acceptance fixture before API fetch support.","open","langfuse-observations-api-current-2026-05-13; langfuse-query-sdk-current-2026-05-13"
"LFI-006","2026-05-13","Trace Root","traces.json","Langfuse exposes trace list and get surfaces with trace-level metadata.","kolm-trace-1 root row with source trace id timestamps and routing metadata.","Trace root row is required for every observation traceId referenced by the fixture.","Observations without root rows weaken hierarchy and purge grouping.","Require trace-root join checks in expected.normalized.jsonl.","open","langfuse-public-api-current-2026-05-13; langfuse-query-sdk-current-2026-05-13"
"LFI-007","2026-05-13","Identity Routing","trace user session tags environment","Langfuse trace and observation surfaces can carry user id session id tags environment and metadata.","Tenant-salted identity hashes plus routing tags and environment.","Expected rows must include user_hash session_hash and no direct user or session source value in redacted mode.","Direct source identifiers can leak into artifacts logs and dashboards.","Add deterministic salt fixture and direct-ID negative checks.","open","langfuse-query-sdk-current-2026-05-13; trace-import-privacy-policy-2026-05-13.md"
"LFI-008","2026-05-13","Generation Mapping","generation observation","Langfuse observations distinguish generation records from other observation types.","kind generation mapped to eval-candidate trace evidence.","Generation rows must preserve parent span trace id model timing and IO fields.","Treating every observation as eval input creates noisy or invalid evals.","Use generation-only eval-source mode as the default fixture path.","open","langfuse-observations-api-current-2026-05-13"
"LFI-009","2026-05-13","Non-Generation Mapping","span observation","Langfuse spans and events can describe tool work or trace context that is not a model generation.","kind span or event as trace evidence not eval case by default.","Loss report must explain skip reason when eval-source generations-only is selected.","Tool spans can be incorrectly converted into prompt-response tests.","Keep non-generation observations in normalized trace rows while excluding holdout evals.","open","langfuse-observations-api-current-2026-05-13"
"LFI-010","2026-05-13","Structured IO","input and output JSON chat messages","Langfuse input and output fields can contain structured JSON payloads from application traces.","input.messages and output.message or output.text in kolm-trace-1.","Fixture must compare structured messages not just flattened strings.","Flattening destroys role order tool calls and future artifact eval fidelity.","Add JSON chat and parse-failure fixture rows.","open","langfuse-observations-api-current-2026-05-13; trace-eval-schema-spec-2026-05-13.md"
