brief,copy
"Email subject for a flash sale: 24h only, 30% off, ends midnight Sunday. Word count: 6-9.","Flash sale: 30% off, ends Sunday midnight."
"Hero headline for a project management SaaS aimed at engineering teams. Word count: 5-8. Voice: direct, confident.","Ship faster. Plan less. Build more."
"Tweet announcing a new feature: real-time collaboration in the editor. 280 chars max. Voice: friendly, technical.","New: real-time collaboration in the editor. Type, comment, and edit alongside your team without the refresh. Live now for all workspaces — open any doc to try it."
"Blog intro for an article about why distillation beats fine-tuning for small teams. Word count: 60-80. Voice: practical, no-jargon.","Most small teams do not need fine-tuning. They need a smaller model that already knows what their bigger model figured out. That is distillation, and it costs a fraction of the cloud-rent fine-tuning bill — without giving up the accuracy that made the bigger model worth using in the first place."
"Push notification for an app reminder: user has 3 unread messages. 30 chars max. Voice: light, prompt.","3 new messages waiting for you."
"Landing page sub-head for a developer tool that auto-fixes failing tests. Word count: 10-14. Voice: bold, concrete.","Failing tests? Get a fix suggestion before you finish reading the stack trace."
"LinkedIn post announcing a Series A. Funding amount $12M, lead investor Sequoia. Word count: 80-100. Voice: grateful, forward-looking.","Today we are announcing a $12M Series A led by Sequoia, with participation from our seed investors and a handful of operators we look up to. This capital is going straight into the team and the product. Thank you to every customer, contributor, and reviewer who got us here — we will keep shipping."
"Cold sales email opener to a head of engineering at a 100-person company. Word count: 25-35. Voice: warm, not pushy.","Hi {{first_name}} — saw your team is hiring three SREs this quarter and figured the on-call load is real. We help eng teams cut alert noise by half. Worth 15 minutes to share what worked?"
"Web banner copy for a free 30-day trial CTA. Word count: 5-8. Voice: simple, action-oriented.","Try it free for 30 days."
"Confirmation email body after a purchase. Word count: 40-55. Voice: friendly, useful.","Thanks for your order. We have started preparing your shipment and will email tracking the moment the label scans. Your order summary and receipt are attached. If anything looks off, just reply to this email — a human will read it."
"App store description first paragraph for a habit tracker. Word count: 50-65. Voice: encouraging, calm.","Track the habits that matter without the streak-anxiety. Open the app once a day, mark what you did, and watch progress build over weeks not minutes. No ads, no badges, no notifications you did not ask for — just the chart you needed."
"Press release headline for the launch of an open-source CLI tool. Word count: 8-12. Voice: news-wire, factual.","kolm launches open-source CLI for compiling AI models on local hardware."
