"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RCR-001","2026-05-13","GitHub","The public source repo is reachable.","Live HTTP check for the GitHub repo returned 200.","GitHub-source preview installs can resolve the repository.","This is useful but does not prove a curated package release.","Keep GitHub-source install as preview and pair it with package-content smoke tests.","solid","github-repo-availability-2026-05-13"
"RCR-002","2026-05-13","Root CLI","The repo exposes a local `kolm` binary.","Root `package.json` defines `bin.kolm`, and `node cli/kolm.js --help` prints the command list.","The local source tree can expose a CLI when installed from source.","This supports preview use but not public package-channel claims.","Keep root CLI smoke tests and add install-from-source smoke in CI.","solid","package-json-release-current; cli-help-release-2026-05-13"
"RCR-003","2026-05-13","Live docs","Live `/docs` is on the older hosted API and package surface.","Live docs show old SDK package snippets, older hosted API calls, old MCP package wording, and old brand footer.","The live docs do not match the current local Kolm CLI and package plan.","Users can follow obsolete commands and trust the wrong product model.","Deploy current docs only after labels are evidence-backed, or mark live docs legacy.","open","kolm-live-docs-release-2026-05-13"
"RCR-004","2026-05-13","Local docs","Local docs still put the missing public CLI npm package first.","`public/docs.html` shows `npm i -g @kolm/cli`; registry check for that package returned 404.","The first local install tab points to an absent package.","First-run install failure remains likely.","Make GitHub-source preview the primary command until public npm exists.","open","public-docs-release-current; npm-view-cli-2026-05-13"
"RCR-005","2026-05-13","Npm CLI","The public CLI package is published.","`npm view` for the public CLI package returned 404.","No package is available under the documented CLI name.","The public install command is not release-backed.","Publish and smoke the package or remove the tab.","open","npm-view-cli-2026-05-13"
"RCR-006","2026-05-13","Npm root","The root package is a public npm registry package.","Root `package.json` has `private: true`; `npm view` for the root package returned 404.","The root package is source-install only.","Docs should not imply registry publication for the root package.","Keep root install labeled GitHub-source preview.","open","package-json-release-current; npm-view-root-2026-05-13"
"RCR-007","2026-05-13","Node SDK","The Node SDK package is published.","Local `sdk/node/package.json` names a scoped SDK package; `npm view` for it returned 404.","SDK source exists but the package is not in the public registry.","Node SDK shipped labels can mislead users.","Publish the SDK or label it source-only.","open","sdk-node-package-release-current; npm-view-node-sdk-2026-05-13"
"RCR-008","2026-05-13","PyPI","The Python package name is available for Kolm.","PyPI `kolm` is an unrelated Korean LM toolkit with latest version 1.1.4 from Apr 15 2017.","Local `sdk/python/pyproject.toml` also uses `name = ""kolm""`.","Publishing under the intended name is blocked or confusing.","Choose a non-colliding package name or resolve ownership before public Python docs.","open","pypi-kolm-2026-05-13; sdk-python-package-release-current"
"RCR-009","2026-05-13","Docker","A public Docker image exists for Kolm.","Docker Hub repository check for a likely Kolm image returned 404.","Local Dockerfiles exist, but no public image evidence was found.","Docker shipped labels can be read as an available image.","Mark Docker as source recipe until image, digest, and smoke test exist.","open","docker-hub-kolm-2026-05-13; dockerfile-release-current"
"RCR-010","2026-05-13","Homebrew","A Homebrew tap exists.","The implied tap URL returned 404; local formula stub is preview and has a placeholder SHA.","Homebrew is not a package channel yet.","A shipped Homebrew label overstates the release path.","Create a tap, replace SHA, run audit, and gate docs on that check.","open","homebrew-tap-check-2026-05-13; scripts-brew-release-current"
"RCR-011","2026-05-13","Windows package managers","winget and Scoop are shipped channels.","Scoop and winget path checks returned 404; local winget file says companion manifests are required.","Windows package-manager artifacts are not published.","Windows install labels can overstate availability.","Label Windows as Node-plus-source install until manifests pass validation.","open","scoop-check-2026-05-13; winget-check-2026-05-13; scripts-winget-release-current"
"RCR-012","2026-05-13","Root package size","GitHub-source install is a small CLI package.","Fresh dry-run reported 699 entries and 243,697,965 bytes packed.","The install package is a broad worktree snapshot.","Slow installs and accidental content exposure are likely.","Add package allowlist and dry-run budget thresholds.","open","root-pack-dry-run-2026-05-13"
"RCR-013","2026-05-13","Temporary artifacts","Temporary screenshots are excluded from package contents.","Dry-run reported 272 `tmp/` entries in the root package.","Untracked temp artifacts enter source install output.","Source installs can balloon unpredictably.","Exclude `tmp/` and make the pack check fail on temp paths.","open","root-pack-dry-run-2026-05-13"
"RCR-014","2026-05-13","Research docs","Research repository files are excluded from package contents.","Dry-run reported 62 `docs/research/` entries in the package.","Internal research ships with the source package.","Package consumers receive launch-risk memos and non-runtime docs.","Exclude `docs/research/` from CLI package output.","open","root-pack-dry-run-2026-05-13"
"RCR-015","2026-05-13","Lock/license","The source package is release-pinned and licensed at root.","Dry-run showed no package lock and no root license file in package contents.","The package lacks a lockfile and root license artifact.","Source install is not a reproducible, clearly licensed release bundle.","Add root license and decide whether lock/provenance belongs in the release artifact.","open","root-pack-dry-run-2026-05-13"
"RCR-016","2026-05-13","GitHub Action auth","The composite action can verify auth with `whoami`.","Action calls `whoami`; local CLI returns unknown command.","The action cannot run as written.","CI users copying the action can fail before compile.","Rewrite the action or implement and test `whoami`.","open","github-action-release-current; cli-whoami-probe-2026-05-13"
"RCR-017","2026-05-13","GitHub Action verify","The composite action can verify artifacts with `verify`.","Action calls `verify`; local CLI returns unknown command.","The action cannot complete its final verification step.","A shipped action label is unsafe without action smoke.","Use current `inspect`/`eval`/`bench` commands or implement `verify`.","open","github-action-release-current; cli-verify-probe-2026-05-13"
"RCR-018","2026-05-13","GitHub Action JSON","`kolm compile --json` is a documented action output mode.","Action parses JSON from `compile --json`; `compile --help` does not document JSON output.","The action output contract is not backed by CLI help.","Action parsing can break or rely on undocumented behavior.","Document and test JSON mode or remove it from the action.","open","github-action-release-current; cli-compile-help-2026-05-13"
"RCR-019","2026-05-13","Integrations labels","Local integrations shipped labels are evidence-backed.","Local integrations page labels GitHub Actions, Node, Python, npm, Homebrew, Windows package managers, and Docker as shipped.","Several labels point to source-only, preview-only, or missing channels.","Prospects can overestimate integration maturity.","Generate labels from a release evidence manifest.","open","public-integrations-release-current; release-registry-checks-2026-05-13"
"RCR-020","2026-05-13","Python CLI","Python package exposes a `kolm` script.","`sdk/python/pyproject.toml` has a script entry for the older Recipe CLI name.","Python source does not expose the expected Kolm command.","Python docs and package behavior diverge.","Rename scripts and add command-contract tests.","open","sdk-python-package-release-current"
"RCR-021","2026-05-13","Python wrappers","Python wrappers match the root CLI.","`sdk/python/kolm/client.py` shells to `compile --json`, `run --in --json`, and `verify`, while the root CLI help/probes do not support that contract.","Python wrappers can fail even when syntax parses.","Python shipped labels can hide runtime contract drift.","Add wrapper tests against the current CLI and rewrite unsupported calls.","open","sdk-python-client-release-current; cli-compile-help-2026-05-13; cli-verify-probe-2026-05-13"
"RCR-022","2026-05-13","Python docs","Python README reflects current Kolm branding and host.","`sdk/python/README.md` still describes the older package surface and old production host.","Python docs are stale relative to Kolm launch positioning.","Publishing them would revive retired claims.","Rewrite README after package naming is decided.","open","sdk-python-readme-release-current"
"RCR-023","2026-05-13","VS Code","VS Code package metadata is current Kolm branding.","`sdk/vscode/package.json` still uses older Recipe naming and visible replacement-character corruption.","The extension is package-shaped but not launch-polished.","Marketplace preview can look stale or broken.","Rename extension metadata, fix encoding, and add packaging smoke.","open","sdk-vscode-package-release-current"
