"id","date","surface","claim_or_expectation","evidence","status","risk","recommended_action","source"
"CSP-001","2026-05-12","BAA page","BAA and DPA are presented as founder-signable procurement templates.","`public/baa.html` says the page is a working draft and that executed copies are sent on letterhead; no executable BAA/DPA artifact was found in the repo.","draft_contract","Enterprise buyers can treat a marketing draft as an available legal artifact.","Keep the page framed as draft until an executable template file, owner, and version history exist.","public/baa.html"
"CSP-002","2026-05-12","BAA termination","The BAA page says PHI is returned or destroyed within 30 days and certified in writing.","`/v1/account/delete` only marks the tenant `_deleted` and cancels billing best-effort; it does not purge concepts, compile jobs, observations, cache, artifacts, or emit a deletion certificate.","unsupported_control","Contract language promises a deletion workflow the product cannot prove today.","Build a tenant purge/certification workflow or narrow BAA deletion language to manual contractual handling.","public/baa.html; src/router.js:1365"
"CSP-003","2026-05-12","BAA subprocessors","The BAA page lists Vercel, Railway, and Stripe with claims about PHI exposure and BAA coverage where PHI is touched.","Vercel config proxies API traffic to Railway; capture and compile routes can receive sensitive prompts/examples; no subprocessor contract evidence exists in the repo.","evidence_gap","Subprocessor claims can become inaccurate as deploy topology changes or if regulated data enters hosted routes.","Maintain a dated subprocessor register with data categories, regions, contracts, and deployment-specific PHI status.","public/baa.html; vercel.json; src/router.js"
"CSP-004","2026-05-12","Privacy retention","Privacy says job metadata is retained for 90 days, then aggregated and deleted.","`compile_jobs` are inserted and listed, but no retention job, TTL, purge command, or aggregation path was found.","unsupported_control","Privacy retention promises can be false in production and create deletion-request exposure.","Implement retention enforcement with tests or remove the 90-day deletion promise until operationalized.","public/privacy.html; src/compile.js"
"CSP-005","2026-05-12","Privacy account deletion","Privacy says account records are deleted within 30 days of account delete.","Account delete soft-deletes only the tenant record; earlier tenant-data audit confirmed private/public concepts and artifacts can remain.","unsupported_control","Privacy policy overpromises erasure and can conflict with GDPR/contract expectations.","Define delete versus deactivate, then implement cascade purge or change the policy text.","public/privacy.html; tenant-data-lifecycle-audit-2026-05-12.md"
"CSP-006","2026-05-12","Privacy CLI rights","Privacy references `kolm account export` and `kolm account delete`.","Root CLI search found `whoami`/account GET behavior, but no account export/delete/cancel command implementation.","docs_drift","Users are directed to privacy controls that do not exist in the CLI.","Add CLI account commands or route users to implemented web/API flows only.","public/privacy.html; cli/kolm.js"
"CSP-007","2026-05-12","Terms data retention","Terms say compile data is used only for the requested compile job and not retained after completion.","Compile jobs retain task text and artifact metadata; artifacts can contain eval/test material; no post-job cleanup path was found.","overbroad_terms","Terms can conflict with actual storage and artifact behavior.","Rewrite terms around exact retained fields and add cleanup controls for submitted examples/evals/artifacts.","public/terms.html; src/compile.js; artifact-truth-audit-2026-05-12.md"
"CSP-008","2026-05-12","Audit log product page","Audit-log page says every data-touching action leaves a per-tenant audit entry queryable in JSON/CSV.","`GET /v1/audit/log` always returns 503 beta response with empty entries; no durable audit table or JSON/CSV export route exists.","stubbed_surface","Regulated buyers can expect an audit feature that is not shipped.","Gate the page behind beta language, or implement durable per-tenant audit logging before selling it.","public/audit-log.html; src/router.js:2033"
"CSP-009","2026-05-12","Audit log opt-in","Audit-log page says tenants can opt in via `POST /v1/account/audit-log`.","No route for `/v1/account/audit-log` was found; router only documents the future opt-in in the 503 message.","broken_instruction","A user following the documented opt-in path cannot enable the feature.","Add the opt-in route with state, tests, and UI feedback or remove the instruction.","public/audit-log.html; src/router.js"
"CSP-010","2026-05-12","Observation purge","Audit-log page says raw prompt/response text is deletable via `/v1/observations/purge`.","No `/v1/observations/purge` route exists; capture routes automatically persist prompt up to 8000 chars and response up to 16000 chars in `observations`.","unsupported_control","The page claims a deletion control while captures persist sensitive text without purge.","Implement observation purge/export/retention controls and make capture raw-text retention explicit.","public/audit-log.html; src/router.js:2269"
"CSP-011","2026-05-12","Capture proxy privacy","Capture comments say upstream provider keys are stripped and never persisted.","Code forwards upstream keys without storing them, but prompt/response content is stored automatically in observations.","partially_supported","The key-handling claim is supported, but raw-content retention can surprise users.","Separate upstream-key non-retention from prompt/response retention in docs and add opt-out/redaction controls.","src/router.js:2260; public/privacy.html"
"CSP-012","2026-05-12","Security supply chain","Security page says Sigstore is live and Cosign signatures exist on every published artifact.","No local Cosign, Rekor, release signing, provenance, or release workflow artifacts were found.","unsupported_claim","Supply-chain trust claims can fail procurement review immediately.","Either ship release signing artifacts/workflows or mark Sigstore/Rekor as roadmap/enterprise design.","public/security.html; .github/workflows"
"CSP-013","2026-05-12","Security SBOM","Security page says one CycloneDX SBOM exists per release.","No SBOM, CycloneDX, provenance, or release workflow files were found in the repo.","unsupported_claim","Buyers asking for software composition evidence will find no downloadable artifact.","Add SBOM generation to release CI and link actual versioned SBOM files.","public/security.html; local file inventory"
"CSP-014","2026-05-12","Security SLSA","Security page labels SLSA Level 3 as target, but also says release tags trigger a hermetic build with provenance.","No release-tag workflow or SLSA provenance generation was found.","roadmap_blur","The target label is defensible, but adjacent prose reads like shipped build provenance.","Move the hermetic-build wording under roadmap until the workflow exists.","public/security.html; .github/workflows"
"CSP-015","2026-05-12","Security disclosure","security.txt exists and is served from `/.well-known/security.txt` and `/security.txt`.","`server.js` serves both paths and `public/.well-known/security.txt` has Contact, Encryption, Expires, Canonical, and Policy fields.","supported","The basic vulnerability contact mechanism exists.","Keep the file current, serve `text/plain`, and add automated checks for expiry and referenced resources.","server.js; public/.well-known/security.txt; RFC 9116"
"CSP-016","2026-05-12","PGP key","Security page and security.txt point researchers to a PGP key.","`public/.well-known/pgp-key.txt` is descriptive text with a placeholder-style block; `.asc` is referenced but not present; `gpg` is unavailable here to verify import.","unverified_key_material","Researchers may be unable to encrypt sensitive reports despite the disclosure page asking them to do so.","Publish an actual armored public key, add `.asc`, and test import in CI.","public/.well-known/pgp-key.txt; public/security.html"
"CSP-017","2026-05-12","Security bounty","Security page promises paid bounty and a hall of fame at `/security/researchers`.","No `/security/researchers` static page or route was found; security.txt has no acknowledgments URL.","unsupported_claim","Researchers may rely on bounty terms that are not actually published.","Publish bounty scope/reward terms and acknowledgments page, or remove the paid-bounty claim.","public/security.html; server.js; vercel.json"
"CSP-018","2026-05-12","Healthcare PHI posture","Healthcare page says PHI stays on hosts customers control and artifacts run inside the BAA boundary.","The page also says customer-hosted bridge is an Enterprise design path; current hosted capture/compile routes can receive and store sensitive data.","needs_gating","Healthcare buyers can miss the distinction between architecture target and current hosted behavior.","Add a prominent hosted-service limitation: no PHI in public hosted routes until a signed BAA and customer-hosted bridge are in place.","public/healthcare.html; src/router.js"
"CSP-019","2026-05-12","Healthcare reference artifacts","Healthcare page names `.kolm` artifacts with K-scores and sizes.","Cookbook pages exist for some names, but no matching `.kolm` artifact files were found in the repo inventory.","proof_gap","Claimed regulated artifacts can look fabricated if the binary and reproducible benchmark are missing.","Publish actual artifacts, manifests, receipts, and benchmark commands or label them as examples/templates.","public/healthcare.html; public/cookbook"
"CSP-020","2026-05-12","Legal runtime claim","Legal page says no client document touches a third-party API at runtime.","This can be true for local artifact runs, but compile-time examples and capture flows still use hosted services unless customer-hosted deployment is contracted.","needs_context","Legal buyers may treat runtime no-egress as full lifecycle no-egress.","Separate runtime guarantee from compile-time data flow and customer-hosted deployment requirements.","public/legal.html; src/compile.js; src/router.js"
"CSP-021","2026-05-12","External anchoring","Pricing/serve/trust pages present optional Sigstore/Rekor anchoring as Enterprise capability.","Receipt code emits HMAC receipts and comments Ed25519/public-key receipts as roadmap; no Rekor/Sigstore implementation was found.","unsupported_claim","Enterprise trust features can be sold before the anchoring path exists.","Gate external anchoring copy behind shipped code and tests, or mark as roadmap.","public/pricing.html; public/trust.html; src/router.js"
"CSP-022","2026-05-12","Receipt compliance claims","`/v1/spec` response says receipts support EU AI Act/SOC 2 evidence.","Receipts are HMAC-based and useful evidence, but audit log, retention, public-key verification, and governance controls remain incomplete.","overbroad_claim","Standards references can be read as compliance readiness rather than evidence support.","Phrase standards language as potential supporting evidence, not compliance coverage.","src/router.js:612; receipt-verification-truth-2026-05-12.md"
"CSP-023","2026-05-12","Enterprise compliance binder","Enterprise page promises a quarterly compliance binder PDF with receipt-chain, K-score, subprocessor, and incident reports.","No report generation, incident log, subprocessor delta, or PDF artifact workflow was found.","unsupported_claim","Procurement can request a deliverable that cannot be produced reliably.","Create a compliance-report generator and sample binder or relabel as planned.","public/enterprise.html"
"CSP-024","2026-05-12","GDPR processor controls","DPA page promises controller/processor roles, subprocessor notice, subject-right assistance, deletion/return, and audits.","The public wording aligns with GDPR Article 28 categories, but product controls for export, erasure, audit logging, subprocessor registry, and retention are incomplete.","control_gap","Contract text may outpace the operational controls needed to satisfy processor obligations.","Build a DPA control checklist tied to implemented routes, logs, and manual procedures before signing regulated customers.","public/baa.html; EUR-Lex GDPR Article 28"
"CSP-025","2026-05-12","Health breach posture","Healthcare and BAA pages discuss PHI/health workflows but do not mention FTC Health Breach Notification Rule edge cases for non-HIPAA consumer health contexts.","Official FTC guidance says non-HIPAA health apps/PHR vendors and related entities can have breach notification obligations.","coverage_gap","A healthcare-adjacent deployment could fall outside HIPAA but still carry health breach obligations.","Add legal review checklist for HIPAA-covered versus non-HIPAA consumer health deployments.","public/healthcare.html; FTC Health Breach Notification Rule guidance"
