"id","date","cluster","vendor","source_ref","pricing_shape","published_anchor","kolm_pricing_implication","risk","recommended_action"
"PCM-001","2026-05-12","Gateway","Portkey","portkey-pricing-current","Free developer plan, $49/month production plan, usage/log limits, overage per additional 100k requests, custom enterprise, and open-source self-host option.","Production plan listed at $49/month with 100k recorded logs/month and overage pricing.","Gateway control is priced cheaply enough that Kolm should not anchor on generic gateway access.","Bundle gateway import/routing as integration, not the core paid unit."
"PCM-002","2026-05-12","Gateway","LiteLLM Enterprise","litellm-enterprise-current","Open-source proxy plus enterprise SaaS/self-managed features sold via contact-sales motion.","Enterprise page emphasizes SSO, SCIM, OIDC/JWT auth, support, admin delegation, guardrails, and monitoring; no public seat/usage price found in checked page.","Open-source proxy economics make gateway replacement a weak monetization story.","Use LiteLLM as an integration path and charge for artifact governance/registry."
"PCM-003","2026-05-12","Gateway","Cloudflare AI Gateway","cloudflare-ai-gateway-pricing-current","Core gateway features free on all plans; persistent logs included with plan limits; premium/Workers-related add-ons for Logpush, guardrails, and platform services.","Core features such as analytics, caching, and rate limiting are described as free; Workers Paid includes larger log limits and Logpush pricing.","Cloudflare can underprice AI gateway basics through bundled infrastructure.","Kolm should avoid charging for proxy basics and instead monetize compiler, receipts, registry, and governance."
"PCM-004","2026-05-12","Gateway","Vercel AI Gateway","vercel-ai-gateway-pricing-current","Pay-as-you-go credits, $5/month free credits on team accounts, no model markup, BYOK no markup or gateway fee.","Vercel docs state paid tier is pay-as-you-go and provider list prices are used with no markup.","Vercel sets expectation that gateway access itself is near pass-through.","Build Vercel AI SDK examples and avoid percent-of-token-spend pricing."
"PCM-005","2026-05-12","Gateway Marketplace","OpenRouter","openrouter-pricing-current; openrouter-byok-current","Free plan, pay-as-you-go credits, 5.5 percent platform fee on credits, 5 percent BYOK fee after first 1M BYOK requests/month, enterprise custom.","Pay-as-you-go shows 5.5 percent platform fee; BYOK docs describe 1M free BYOK requests/month then 5 percent fee.","Routing marketplaces can monetize convenience but keep inference prices transparent and low-friction.","Kolm should not depend on markup economics; charge for artifacts, private registry, proof retention, and org controls."
"PCM-006","2026-05-12","Observability","Helicone","helicone-pricing-current","Free hobby plan, $79/month Pro, $799/month Team, enterprise custom, request/storage usage-based pricing.","Pro listed at $79/month; Team at $799/month; free includes 10k requests and 1GB storage.","Observability vendors price seats/orgs plus request/storage usage.","Kolm should avoid pure trace storage pricing unless tied to compile candidates and receipts."
"PCM-007","2026-05-12","Observability","Langfuse Cloud","langfuse-pricing-current","Free Hobby plan, $29/month Core, $199/month Pro, $2499/month Enterprise, units-based overages and retention/security tiers.","Core listed at $29/month; Pro $199/month; Enterprise $2499/month; unit overages around $8/100k with volume steps.","Open-source plus low cloud entry pricing makes generic observability hard to monetize.","Charge for artifact lifecycle/governance and keep trace ingestion compatible with Langfuse."
"PCM-008","2026-05-12","Observability","Langfuse Self-hosted","langfuse-selfhost-pricing-current","Open Source self-hosting free for core features; Enterprise self-host custom with ClickHouse Cloud/BYOC/Private and enterprise controls.","Self-hosted Open Source tier is free; Enterprise is custom pricing with support/security features.","Self-hosted observability reduces willingness to pay for another hosted trace store.","Make self-hosted Kolm registry/receipt verifier clear if enterprise buyers need data control."
"PCM-009","2026-05-12","Observability and Evals","Braintrust","braintrust-plans-current","Starter free, Pro monthly plan, Enterprise custom; usage grows with processed data and higher limits/security.","Official plans page lists Starter free and Pro at $249/month.","Braintrust owns paid eval/observability workflow at a mid-market SaaS price.","Kolm K-score must be artifact acceptance/proof, not a generic eval dashboard substitute."
"PCM-010","2026-05-12","Prompt Ops","PromptLayer","promptlayer-pricing-current","Free plan with request/log-retention limit, Pro per-user monthly plan, advanced features such as evals/fine-tuning/workspaces.","Docs page lists Pro at $50/month/user and Free with 5k requests/7 days retention.","Prompt management is seat-priced and crowded.","Kolm should consume prompt versions and charge for compiled artifact release governance."
"PCM-011","2026-05-12","Fine-Tuning","Predibase","predibase-pricing-current","Free tier plus usage-based private serverless GPU pricing, shared serverless token allowances, VPC custom quotes, fine-tuning per 1M tokens by model size/type.","Private serverless examples include L4/A10G/L40S/A100 hourly rates; fine-tuning listed per 1M tokens for LoRA/Turbo/RFT categories.","Fine-tuning platforms monetize compute and managed model serving.","Kolm should not price as fine-tuning infra until model-adapter tier is real."
"PCM-012","2026-05-12","Fine-Tuning and Inference","Together AI","together-pricing-current; together-finetune-pricing-current","Serverless per-token inference, dedicated GPU hourly rates, GPU clusters, sandbox/code interpreter pricing, fine-tuning per 1M processed tokens by model size/type.","Fine-tuning listed per 1M tokens; dedicated inference examples include H100/H200/B200 hourly pricing.","Together exposes raw compute/token economics that buyers can compare directly.","Kolm pricing should avoid GPU/token claims unless it controls that runtime."
"PCM-013","2026-05-12","Gateway","Helicone AI Gateway","helicone-gateway-current","Gateway is positioned as beta with unified API and 0 percent markup language; production observability remains the standard integration path.","Docs describe AI Gateway as beta and standard integrations as production-ready observability.","Even observability vendors are adding low-markup gateways as an acquisition surface.","Kolm should use gateways as capture surfaces and avoid making gateway beta features central."
"PCM-014","2026-05-12","Inference Marketplace","OpenRouter Scale Signals","openrouter-home-current; openrouter-providers-current","Marketplace advertises broad model/provider catalog and high usage; pricing is transparent by model/provider plus platform/BYOK fees.","Home page advertises 400+ models, 60+ providers, and large token/user scale; provider page lists BYOK/data policy attributes by provider.","Routing scale and model catalog are not realistic first moats for Kolm.","Use model marketplaces for fallback/runtime access while Kolm owns artifact proof."
