"id","date","surface","evidence","status","risk","recommended_action","source"
"SCI-001","2026-05-12","Root package metadata","Repo root `package.json` is `private:true`, package name `kolmogorov-stack`, and exposes bin `kolm: cli/kolm.js`.","local_git_install_only","Docs that advertise published package names do not match the root package metadata.","Pick canonical install path for launch: GitHub install, npm package, or both; align package metadata and docs.","package.json"
"SCI-002","2026-05-12","Root CLI syntax","`node --check cli/kolm.js` passed and `node cli/kolm.js version` executed successfully.","works_locally","The canonical CLI file is syntactically valid and has a working version command in this environment.","Keep root CLI as canonical while SDK/package docs are cleaned up.","cli/kolm.js"
"SCI-003","2026-05-12","Docs install names","README and docs advertise `@kolmogorov/kolm`, `@kolm/cli`, and `github:sneaky-hippo/kolmogorov-stack`; root package is private and named `kolmogorov-stack`.","docs_drift","Developers may try non-existent or unpublished package names before reaching the working GitHub install path.","Remove unpublished names or publish matching packages before public launch.","README.md; public/docs.html; docs/AUTHORING.md"
"SCI-004","2026-05-12","Browser SDK syntax","`node --check` failed for `public/sdk.js` and all versioned `public/sdk-*.js` files at line 18 with `Unexpected token ':'`.","broken","P0 developer-surface failure: the advertised `import { recipe } from 'https://kolm.ai/sdk.js'` cannot load.","Fix syntax, add `node --check public/sdk.js` and browser import smoke to CI, then rebuild versioned SDK assets.","public/sdk.js; public/sdk-current.json"
"SCI-005","2026-05-12","Browser SDK release manifests","`public/sdk-current.json` points to `sdk-c102c349da28.js`, which also fails syntax check.","broken_release_pointer","The immutable/SRI manifest pins a broken asset, so consumers following best-practice pinning still fail.","Rebuild `sdk-current.json` only after syntax and runtime smoke pass.","public/sdk-current.json; public/sdk-c102c349da28.js"
"SCI-006","2026-05-12","Browser SDK claims","Browser SDK comments claim public registry runs locally and returns signed receipts; the code builds local hash receipts and has no HMAC/public-key signature path.","claim_drift","Even after syntax is fixed, receipt wording can overstate cryptographic guarantees.","Call browser receipts local run attestations unless backed by signed public-key or verifiable HMAC flow.","public/sdk.js; receipt-verification-truth-2026-05-12.md"
"SCI-007","2026-05-12","Node SDK package","`sdk/node/package.json` is `@kolmogorov/kolm-sdk`, with a recipe-named CLI bin, and README says the npm package is not published yet.","scaffolded","Node SDK is coherent as local package, but not a published install path.","Publish or clearly label as local-only; avoid presenting it as installed package in public docs.","sdk/node/package.json; sdk/node/README.md"
"SCI-008","2026-05-12","Node SDK syntax","`node --check` passed for `sdk/node/index.mjs`, `index.cjs`, and `bin/cli.mjs`.","works_syntax","Node SDK sources are syntactically valid.","Add mocked unit tests plus route contract tests.","sdk/node/index.mjs; sdk/node/index.cjs"
"SCI-009","2026-05-12","Node public shortcuts","Mocked `recipe.isSpam()` called `/v1/public/featured`, then unauthenticated `/v1/run`, which returned 401.","broken_public_helper","Public no-key convenience helpers do not work; they should call `/v1/public/run` with the found concept id.","Change shortcuts and MCP named runs to use `publicRun({concept_id})` for curated public recipes.","sdk/node/index.mjs; local mock smoke"
"SCI-010","2026-05-12","Node SDK test strategy","`node sdk/node/test/sdk.test.mjs` failed 0 pass / 9 fail when no server was listening on localhost:3939.","test_harness_gap","SDK tests are live-server smokes, not reliable package tests; they also do not catch the public shortcut bug by default.","Add fetch-mocked unit tests and make live tests opt-in with a clear env variable.","sdk/node/test/sdk.test.mjs"
