"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RGA-001","2026-05-12","Public review","Public submission is the path into the public registry.","`POST /v1/public/submit` inserts a row with `status: pending_review`.","Authenticated synthesis and publish routes can set `visibility: public` and call `createConcept` directly.","The review queue can be bypassed for public entries.","Make public visibility require approved review status or admin rights.","open","src/router.js"
"RGA-002","2026-05-12","Manual publish","Published public entries are verifier-gated.","`POST /v1/publish` compiles source and calls `verify`.","The route does not require non-empty evals or enforce a minimum quality score before publishing.","Public entries can have no real evaluation evidence.","Reject empty/low-quality public publish requests; store unverified entries as private drafts.","open","src/router.js; src/verifier.js"
"RGA-003","2026-05-12","Verifier","Empty eval sets cannot masquerade as quality evidence.","A verifier smoke returned `quality_score: 1`, `runs: 0` for a generator with no evals.","Verifier defaults empty positives, negatives, and property tests to pass rates of 1.","Public trust metrics can be inflated by omission.","Make empty evals return no score or fail public publish policy.","open","src/verifier.js"
"RGA-004","2026-05-12","Synthesis","Generated public entries require moderation after acceptance.","`POST /v1/synthesize` publishes only if `result.accepted && publish`.","The accepted result is inserted with caller-supplied `visibility` and no review status.","Accepted generated code becomes public immediately.","Route public visibility through a review workflow after synthesis acceptance.","open","src/router.js; src/synthesis.js"
"RGA-005","2026-05-12","Batch synthesis","Bulk public publication is governed per entry.","`POST /v1/synthesize/batch` accepts a top-level `visibility` value.","Every accepted item can become public from one batch request without review.","A tenant can bulk-create public executable entries without curation.","Require review for each public batch item and cap public submissions separately.","open","src/router.js"
"RGA-006","2026-05-12","Review workflow","Admin can approve or reject public submissions.","Admin route lists submissions.","No approve, reject, publish, or status-mutation route was found for submissions.","Pending review is a dead-end workflow and not an enforcement mechanism.","Add explicit review state transitions and tests.","open","src/router.js"
"RGA-007","2026-05-12","Concept schema","Public registry rows carry governance state.","`createConcept` stores id, name, description, tenant, schema, tags, visibility, version counters, and timestamps.","No review status, trust level, publisher display, license, provenance, or revocation fields are stored.","Consumers cannot distinguish curated, demo, untrusted, revoked, or owner-published entries.","Extend concept/version schema before marketing curated registry behavior.","open","src/registry.js"
"RGA-008","2026-05-12","Version schema","Public versions carry artifact trust evidence.","`publishVersion` stores raw source, vector, evaluation, lineage, size, and timestamp.","No artifact hash, signature, receipt, eval-set hash, license, or approval metadata is required.","Public source rows are not equivalent to signed artifact releases.","Separate source-entry metadata from signed `.kolm` artifact metadata.","open","src/registry.js"
"RGA-009","2026-05-12","Public export","Bulk export is a governed artifact feed.","`GET /v1/registry/export` returns executable source for public head versions.","Export lacks review status, license, provenance, revocation, signature, receipt, artifact hash, and eval bundle.","Clients can cache and run public code without knowing its trust status.","Version the export schema and include governance and revocation metadata.","open","src/router.js; public/sdk.js; public/sw.js"
"RGA-010","2026-05-12","API docs","Registry export is NDJSON.","`public/api.html` says the export is NDJSON.","The route returns one JSON envelope with `spec`, `exported_at`, `registry_hash`, and `recipes`.","Client implementers can parse the public export incorrectly.","Update docs or add an explicit NDJSON endpoint.","open","public/api.html; src/router.js"
"RGA-011","2026-05-12","Public run","Public run is abuse-gated.","`POST /v1/public/run` is intentionally unauthenticated for public concepts.","No route-specific limiter is attached to this endpoint.","Attackers can spend compute on public entries without API keys.","Add public-run rate limits, quotas, and telemetry.","open","src/router.js; src/auth.js"
"RGA-012","2026-05-12","Public detail API","Public detail exposes only safe metadata.","`GET /v1/public/concepts/:id` returns the concept from `registry.getConcept`.","`getConcept` returns versions with vectors stripped but source and evaluation retained.","Source disclosure is intentional for export, but not labeled as untrusted code distribution.","Document source disclosure and attach license/provenance/trust fields.","open","src/router.js; src/registry.js"
"RGA-013","2026-05-12","Atlas data","Atlas can render K-score, size, signed, and age from its fetch.","Atlas fetches `/v1/public/concepts`.","That endpoint returns concept metadata without `latest_version`, version evaluation, signature, or size data.","Atlas renders unsupported K-score and signed affordances.","Fetch a canonical registry detail schema or remove unsupported cells.","open","public/registry.html; src/registry.js"
"RGA-014","2026-05-12","Leaderboard data","Leaderboard ranks comparable public K-scores.","Leaderboard fetches `/v1/public/concepts` and sorts by derived K-score.","The fetched rows do not contain the version evaluation fields the derivation expects.","Rank order can be arbitrary or based on missing data while copy implies comparable evals.","Use a route that returns verified K-score/eval-set metadata and fixture-test the page.","open","public/leaderboard.html; src/registry.js"
"RGA-015","2026-05-12","UI signatures","Public rows display real signature state.","Atlas and Leaderboard render the word `signed` for each row.","The fetched rows do not include signature or receipt fields.","The UI creates a false assurance signal.","Display signature only after verifying row-level evidence.","open","public/registry.html; public/leaderboard.html"
"RGA-016","2026-05-12","Dynamic details","Registry card links resolve to detail pages.","Atlas and Leaderboard generate `/registry/{id}` links.","`server.js` serves `/registry` and `/atlas`, but no dynamic `/registry/:id` route.","Users click into 404s or lose access to the promised manifest/detail view.","Implement detail pages or link to an API-backed modal/download flow.","open","public/registry.html; public/leaderboard.html; server.js"
"RGA-017","2026-05-12","Artifact wording","Public registry rows are `.kolm` artifacts.","Atlas and Leaderboard describe public `.kolm` artifacts.","The public browse/export routes are concept/source rows; signed `.kolm` files are served from tenant compile job routes.","The product can conflate source snippets with signed artifact bundles.","Rename rows as public concepts/source entries until artifact downloads exist.","open","public/registry.html; public/leaderboard.html; src/router.js"
"RGA-018","2026-05-12","Seed catalog","Public seeds are curated registry assets.","`server.js` seeds `examples/*.json` into the demo tenant at boot.","All current example JSON files declare `visibility: public`; no curation metadata is attached.","Demo examples can look like reviewed public marketplace entries.","Label seed entries and attach provenance/trust level.","open","server.js; examples/*.json"
"RGA-019","2026-05-12","Featured entries","Featured entries are curated through an admin workflow.","`/v1/public/featured` maps hard-coded names to public concepts.","No featured status field or curation workflow was found.","Featured can silently empty or drift from governance state.","Store featured state with review metadata and tests.","open","src/router.js"
"RGA-020","2026-05-12","SDK contract","SDK public helpers reflect registry governance.","Node SDK exposes public listing/run helpers and tests public submit returns a submission id.","SDK tests do not cover approval, public publish gating, export metadata, or revocation.","Client libraries can normalize an ungoverned public execution flow.","Add SDK contract tests for public trust fields and rejected unapproved public publish.","open","sdk/node/index.mjs; sdk/node/test/sdk.test.mjs"
"RGA-021","2026-05-12","Offline cache","Offline registry cache respects revocation.","Browser SDK fetches `/v1/registry/export`; service worker precaches and stale-while-revalidates the same path.","No revocation list, minimum registry version, or cache invalidation policy is present in the export schema.","Revoked public code can remain runnable in clients after removal.","Add registry versioning, revocation records, and cache invalidation tests.","open","public/sdk.js; public/sw.js; src/router.js"
"RGA-022","2026-05-12","Publisher provenance","Public registry identifies who published an entry.","Concept rows store tenant internally.","Public list/export responses do not expose publisher identity or verified org state.","Consumers cannot evaluate source, owner, accountability, or support channel.","Add publisher display fields and verification state for public entries.","open","src/registry.js; src/router.js"
"RGA-023","2026-05-12","Pagination","Public registry supports stable mirrors.","Public browse routes return up to 200 recent rows.","No cursor, snapshot version, delta feed, or stable ordering contract beyond recent slicing is present.","Mirrors and SDK caches can miss or reorder entries as the registry grows.","Add pagination, registry sequence numbers, and delta export.","open","src/router.js; src/registry.js"
"RGA-024","2026-05-12","Artifact download","Public registry has an intentional public `.kolm` download route.","Compile artifact downloads exist under authenticated job routes.","Public registry export has source rows; public concept detail has JSON source; no public artifact-file route was found.","The promised artifact inspection/download path is incomplete.","Design public artifact publishing separately from concept source export.","open","src/router.js; public/registry.html"
"RGA-025","2026-05-12","Existing controls","Some base controls are already present.","Public submit checks ownership; public export is rate-limited; names, descriptions, and tags are sanitized; private concept reads use tenant checks.","These controls reduce accidental exposure but do not solve public trust governance.","The current base is useful but insufficient for a curated public registry.","Keep these controls while adding review, trust, revocation, and tests.","solid","src/router.js; src/registry.js; src/auth.js"
