"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"AMG-001","2026-05-12","MCP core","`kolm serve --mcp` exposes local artifacts as MCP tools.","`cli/kolm.js` accepts only `--mcp` for serve and imports `services/mcp/server.js`; smoke `tools/list` found fixture artifacts.","Local artifact MCP exists for stdio JSON-RPC and optional localhost HTTP JSON-RPC.","Good base for agent integration if claims stay narrow.","Keep this as the launch core and add MCP contract tests.","solid","cli/kolm.js; services/mcp/server.js"
"AMG-002","2026-05-12","Protocol","MCP server supports standard discovery and invocation.","`services/mcp/server.js` implements `initialize`, `tools/list`, `tools/call`, and `ping`.","Basic JSON-RPC methods exist, but no resources, prompts, subscriptions, or SDK-backed protocol layer are implemented.","Agents can run artifacts, but broader MCP capability claims should not be implied.","Document the implemented method subset and add method-level tests.","solid","services/mcp/server.js"
"AMG-003","2026-05-12","HTTP transport","MCP supports stdio or HTTP.","`startHttp` serves GET `/health` and POST `/mcp`, binding to `127.0.0.1`; `cmdServe` passes `--http` and `--port`.","HTTP JSON-RPC is real and localhost-bound.","Useful for local agents, but docs must not call it SSE.","Document HTTP as JSON-RPC POST and add smoke tests.","solid","services/mcp/server.js; cli/kolm.js"
"AMG-004","2026-05-12","Project discovery","Project `kolm.yaml` can define artifact discovery and K-score floors.","`discoverSources` reads `findProjectConfig`, artifact globs, project name, and `k_min`; `src/project.js` resolves glob paths.","Project-scoped tool names and artifact discovery exist.","This is a useful governance hook if score scale is fixed.","Add project fixture tests for globs, prefixes, and gates.","solid","services/mcp/server.js; src/project.js"
"AMG-005","2026-05-12","Artifact signature","MCP only exposes artifacts that load and verify.","`listTools` calls `inspectArtifact`; `loadArtifact` verifies manifest signature and throws on invalid signature.","Badly signed artifacts are skipped during listing or fail during calls.","Solid artifact integrity boundary for private artifacts.","Keep signature verification before metadata display and add corrupted-artifact MCP tests.","solid","services/mcp/server.js; src/artifact-runner.js"
"AMG-006","2026-05-12","Install preview","Harness install is previewable before writing.","`kolm install <harness>` prints a target and config snippet unless `--apply` is passed.","Users can inspect generated config before filesystem writes.","Good safety posture for local agent config changes.","Keep preview default and test all harness snippets.","solid","cli/kolm.js"
"AMG-007","2026-05-12","Hooks","CLI lifecycle hooks exist for compile, run, and bench.","`src/hooks.js` parses `kolm.yaml` hook events; `cli/kolm.js` dispatches Pre/Post compile, run, and bench events.","Hook plumbing is implemented for CLI commands.","Hooks can support governance if tested and documented as CLI-only.","Add hook parser and block/allow regression tests.","solid","src/hooks.js; cli/kolm.js; docs/HOOKS.md"
"AMG-008","2026-05-12","SSE claim","`kolm serve --mcp` supports SSE.","`public/serve.html` claims `mcp/0.1 + sse`; `services/mcp/server.js` implements stdio and HTTP POST `/mcp`, with no SSE route.","SSE is not implemented in the artifact MCP server.","Clients following the serve page can configure the wrong transport.","Remove SSE wording or implement a tested SSE transport.","open","public/serve.html; services/mcp/server.js"
"AMG-009","2026-05-12","Automatic discovery","Agents discover `kolm serve --mcp` without configuration.","`public/serve.html` says agents discover it without configuration; implementation requires MCP client config or `kolm install`.","There is no `.well-known` writer or OS-level discovery mechanism.","Buyers can expect zero-config onboarding that fails locally.","Change copy to explicit client config or build discovery files per harness.","open","public/serve.html; cli/kolm.js; services/mcp/server.js"
"AMG-010","2026-05-12","Well-known manifest","Serve writes `.well-known/mcp.json` next to artifacts.","The serve page claims a `.well-known/mcp.json`; source search found no writer for that file in MCP serve paths.","No well-known capability file is emitted.","Docs can mislead MCP client setup and security review.","Remove claim or implement and test file emission.","open","public/serve.html; services/mcp/server.js"
