"id","date","surface","evidence","auth_status","risk","recommended_action","source"
"ABM-001","2026-05-12","Global API boundary","`src/router.js:802` mounts `r.use(authMiddleware)`; route extraction found 67 route declarations protected by the global middleware after this line.","protected_by_default_after_global","The main boundary is effective for most tenant, compile, account, artifact, recipe, bridge, capture, and specialist routes.","Keep the global boundary, but generate a route manifest so new routes cannot silently land before or outside the boundary.","src/router.js; src/auth.js"
"ABM-002","2026-05-12","Public-by-placement API routes","Route extraction found 17 pre-auth public routes before `r.use(authMiddleware)`: pricing, plans, anon bootstrap/claim, signup/signin/signout/session login/logout, public concepts/run, receipt verify, spec, registry export, health, ready.","public_by_placement","This is the largest unauthenticated surface and is partly implicit in file order rather than a single reviewed allowlist.","Create a checked-in auth route inventory with expected public/protected status and a test that fails when placement changes.","src/router.js:207; src/router.js:802"
"ABM-003","2026-05-12","Middleware public allowlist","`PUBLIC_API` bypasses `/v1/public/*` except submit, signup/signin/signout, anon bootstrap/claim, registry public, Stripe webhook, OAuth routes, and waitlist.","public_by_allowlist","The allowlist only explains middleware bypass behavior; it does not capture routes that are public because they sit before the middleware.","Split public route policy into one source of truth covering both placement and middleware bypasses.","src/auth.js"
"ABM-004","2026-05-12","Anonymous claim existing-email merge","Local smoke created a real tenant, minted an anon token, called `claimAnonTenant(anonKey,{email:victimEmail})`, and received `{mode:'merged', canUseNew:true, oldStillWorks:false}`.","public_body_token","P0 account takeover: any valid anon token plus a known email can rotate and obtain the API key for that existing tenant, without email proof or OAuth proof.","Disable existing-email merge until the email is verified by magic link or OAuth; never return a key for an existing tenant from anon claim without proof of email control.","src/auth.js; src/router.js:296"
"ABM-005","2026-05-12","Anonymous claim route","`POST /v1/anon/claim` is before global auth and has no limiter; it authenticates only the body `anon_token` and accepts the requested email/name.","public_body_token","The endpoint can be brute-forced or abused as an account merge and key-rotation surface, and it lacks the `anonLimiter` used by bootstrap.","Add a claim limiter, require proof of email control, and add tests for merge denial without verification.","src/router.js:296; src/auth.js"
"ABM-006","2026-05-12","Query-string API key","`authMiddleware` accepts `req.query.api_key`; local smoke against `/v1/account?api_key=...` returned 200 for a valid tenant.","authenticated_via_query","P1 secret leakage: query keys can land in access logs, browser history, referrers, support screenshots, and analytics.","Deprecate query keys; support only `Authorization`, `X-API-Key`, or httpOnly cookie after a short CLI migration window.","src/auth.js"
"ABM-007","2026-05-12","Credential precedence","`authMiddleware` chooses `kolm_session` cookie before `Authorization` or `X-API-Key`.","authenticated_cookie_first","A browser request with a stale or different session cookie can override an explicit bearer key and operate on the cookie tenant, creating confusing tenant selection and harder incident analysis.","Prefer explicit `Authorization`/`X-API-Key` over cookies for API requests, or reject ambiguous requests carrying both cookie and header credentials.","src/auth.js"
"ABM-008","2026-05-12","Public run","`POST /v1/public/run` is pre-auth, executes public versions/concepts through runtime, and is not wired to an explicit per-IP limiter.","public_by_placement","P1 abuse surface: unauthenticated users can trigger receipt-building and runtime execution for public concepts without tenant quota controls.","Add a public-run limiter and explicit max input size; decide whether receipts should default on for unauthenticated runs.","src/router.js:451"
"ABM-009","2026-05-12","Public registry export","`GET /v1/registry/export` is public and rate-limited, returning executable source for all public recipes with offline-forever wording in comments.","public_rate_limited","This is intended for offline registry, but it raises trust-level and unsafe-recipe risk while `node:vm` remains the runtime boundary.","Tie export to artifact trust levels and sandbox policy; keep public export limited to curated or signed safe tiers until stronger sandboxing ships.","src/router.js:628; sandbox-hardening-decision-2026-05-12.md"
"ABM-010","2026-05-12","Receipt verifier","`POST /v1/receipts/verify` is public and recomputes HMAC receipts using the server's receipt secret.","public_by_placement","Public verification is convenient, but the service is not independent public-key verification and can be misread as third-party proof.","Keep public verifier wording explicit about server-held HMAC and prioritize Ed25519/public-key receipt mode.","src/router.js:492; receipt-verification-truth-2026-05-12.md"
"ABM-011","2026-05-12","OAuth start/callback/providers","OAuth routes are mounted before global auth; callback checks state cookie, rejects bad state, fetches provider email, then creates or finds a tenant.","public_oauth","The state and return checks are reasonable; existing-tenant OAuth sign-in rotates the API key and invalidates stored CLI keys.","Document key-rotation side effects and consider separate browser sessions from long-lived API keys.","src/oauth.js; src/auth.js"
"ABM-012","2026-05-12","OAuth return handling","`safeReturn` accepts only relative paths starting with `/` and rejects `//`, limiting open-redirect risk.","public_oauth","No immediate open-redirect issue was found in this pass.","Keep this behavior covered by unit tests for `redirect` inputs including absolute URLs and protocol-relative URLs.","src/oauth.js"
"ABM-013","2026-05-12","Stripe webhook","`POST /v1/stripe/webhook` is after global auth but bypasses via `PUBLIC_API`; server mounts `express.raw` before JSON parsing for this path.","public_webhook","Public webhook bypass is necessary, but its correctness is easy to miss because route placement says protected while middleware allowlist makes it public.","Add webhook rows to the generated auth manifest and test both no-auth access and signature rejection.","src/router.js:1215; server.js"
"ABM-014","2026-05-12","Waitlist endpoint","`POST /v1/specialists/waitlist` sits after global auth but bypasses via `PUBLIC_API` and has `waitlistLimiter`.","public_rate_limited","Public PII collection is expected, but it should be explicit in the route manifest and privacy/security review.","Keep limiter and add route-manifest coverage plus PII retention notes.","src/router.js:1938; src/auth.js"
"ABM-015","2026-05-12","Admin fallback key","`adminApiKey()` returns `ks_admin_change_me` only outside production-like runtimes; tests cover production-like hosts.","admin_dev_only","The fallback is acceptable for local dev but must never be reachable on production-like deploys.","Preserve tests and add live-deploy smoke that admin fallback is rejected on production URL.","src/auth.js; tests/auth.test.js"
"ABM-016","2026-05-12","Admin diagnostics","Admin routes check `req.is_admin`; diagnostics expose env/config shape and directory info only behind admin auth.","admin_only","The information is sensitive but appropriately admin-gated in code review.","Keep admin-only checks, and ensure admin key management is part of production readiness.","src/router.js:1744; src/router.js:1757"
"ABM-017","2026-05-12","Admin compile visibility","Compile job/artifact lookups pass `null` tenant when `req.is_admin` is true, giving admin global visibility.","admin_global","This is useful for support but creates a privileged data-access mode that should be auditable.","Log/admin-audit global job and artifact reads, and document the support boundary.","src/router.js:889; src/router.js:893; src/router.js:906"
"ABM-018","2026-05-12","Tenant-scoped registry reads","`registry.canRead` permits public concepts for all tenants and private concepts only for the owning tenant.","tenant_scoped","The registry read boundary is structurally sound for this pass.","Add regression tests for cross-tenant private reads and public read behavior through both `/v1/run` and `/v1/public/run`.","src/registry.js; src/runtime.js"
"ABM-019","2026-05-12","Provider-backed verified inference","`POST /v1/wrap/verified` and `/v1/verified-inference` appear before global auth but explicitly include `authMiddleware` and `verifiedLimiter`.","explicit_pre_auth_protected","Expensive provider-backed surfaces are protected and rate-limited despite their placement before global auth.","Keep these as explicit route-manifest exceptions and add tests that missing auth is rejected.","src/router.js:680; src/router.js:785"
"ABM-020","2026-05-12","Public route test coverage","Existing auth tests focus on admin fallback/readiness; e2e tests cover signup and normal auth but do not assert full route public/protected status, anon-claim merge denial, query-key deprecation, or public-run abuse controls.","test_gap","Route-boundary regressions can ship silently, especially when public status is determined by file order or middleware bypass.","Add generated route inventory tests and security regression tests for anon claim, query keys, public run limiter, Stripe webhook bypass, and public submit auth.","tests/auth.test.js; tests/e2e.test.js; src/router.js"
