"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RMG-001","2026-05-12","Auth boundary","Recall routes are tenant-authenticated.","Recall, embed, status, sources, assistant, and memory routes are declared after the authenticated `/v1` boundary.","Callers need a tenant context except public pre-auth routes elsewhere.","This is a solid base for recall governance.","Keep routes authenticated and add explicit auth tests for recall endpoints.","solid","src/router.js; src/auth.js"
"RMG-002","2026-05-12","Path isolation","Non-admin embed paths stay under the tenant recall root.","`/v1/embed` resolves every absolute path and checks it equals tenant root or starts with tenant root plus path separator.","Regular tenants cannot ingest arbitrary server paths through this route.","Good server-mounted path guard for self-hosted recall.","Extract a shared containment helper and test Windows and POSIX paths.","solid","src/router.js"
"RMG-003","2026-05-12","Namespace isolation","Recall namespaces are tenant-prefixed before qmd sees them.","`nsFor` sanitizes tenant and namespace and returns `kolm-<tenant>-<namespace>`.","Two tenants using the same namespace do not collide in qmd collection names.","This is a useful isolation primitive.","Keep tenant-prefixed namespaces and expose display names separately from internal names.","solid","src/recall.js"
"RMG-004","2026-05-12","Availability","Recall status exposes qmd availability.","`/v1/recall/status` calls `recall.isAvailable()` and optional namespace status.","Tenants can see whether the substrate is available.","Useful for diagnostics, but not enough for compile correctness.","Keep status and add health semantics for unavailable versus empty.","solid","src/router.js; src/recall.js; services/index/qmd.js"
"RMG-005","2026-05-12","Local BM25","Local RAG index/query is a real pure-JS path.","`node --check src/rag.js` and ESM import succeeded; code builds BM25 postings and query scores from local files.","Local BM25 exists independently of qmd and network services.","This is a solid local recall base.","Add fixture tests for index, query, list, and update behavior.","solid","src/rag.js; cli/kolm.js; docs/RAG.md"
"RMG-006","2026-05-12","Artifact index slot","Artifacts can carry an optional `KOLMIDX` lookup container.","`encodeIndex` and `decodeIndex` use `KOLMIDX` magic and tolerate empty buffers.","The artifact format has a safe placeholder for future index payloads.","This supports an incremental path to artifact-bound recall.","Add fixtures for empty, valid, and corrupt index containers.","solid","src/artifact.js; src/artifact-runner.js; docs/AUTHORING.md"
"RMG-007","2026-05-12","Verified wrap grounding","Verified wrap can use recall snippets when qmd returns chunks.","`POST /v1/wrap/verified` prepends retrieved snippets into the system prompt and returns `_kolm.recall_chunks`.","This is the clearest shipped path where recall changes model input.","Useful preview, with graceful degradation.","Expose whether grounding was unavailable versus empty.","solid","src/router.js"
"RMG-008","2026-05-12","Compile grounding","Compile uses recalled chunks to shape the artifact.","`runJob` queries recall chunks and records `recall.done`.","The retrieved chunks are not passed into `ctx.synthesize`, eval generation, or packaging except as a namespace marker.","Artifacts can imply corpus grounding without corpus-derived behavior.","Feed chunks into synthesis/evals and store chunk hashes or label them unused.","open","src/compile.js; src/router.js"
"RMG-009","2026-05-12","Artifact-bound recall","Compiled artifacts include the populated recall index when a corpus is supplied.","`buildAndZip` receives `recall_namespace` but no `index` from the compile route.","The manifest may show a recall namespace while `index.sqlite-vec` remains empty.","Buyers may think corpus evidence is inside the file when it is external or absent.","Embed `KOLMIDX`/sqlite-vec payloads or mark artifacts as externally grounded.","open","src/compile.js; src/artifact.js"
"RMG-010","2026-05-12","CLI data path","`kolm compile --data` works for ordinary hosted SaaS local folders.","CLI sends `path.resolve(dataDir)` to hosted `/v1/embed`.","The server route requires the path to exist on the server under the tenant recall root.","Most remote users will silently compile without corpus after ingest failure.","Split local/offline data compile from server-mounted hosted embed and fail clearly.","open","cli/kolm.js; src/router.js"
