"id","date","area","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"AOE-001","2026-05-12","Health","Public liveness avoids sensitive provider detail.","`GET /health` returns status, version, library version, region, uptime, and store stats.","The route is public and does not expose provider keys or admin feature flags.","This is a solid liveness base, but not readiness or incident evidence.","Keep `/health` low-detail and use `/ready` for deploy gates.","solid","src/router.js; public/api.html"
"AOE-002","2026-05-12","Readiness","Public readiness fails when required runtime gates fail.","`GET /ready` uses `runtimeReadiness()` and returns 503 unless status is `ready`.","The route exposes low-detail check status and required flags.","This is a useful platform health gate.","Keep the route public and add schema tests for consumers.","solid","src/router.js; src/env.js; tests/e2e.test.js"
"AOE-003","2026-05-12","Admin health","Full health detail is staff-only.","`GET /v1/health` checks `req.is_admin` before returning feature flags and readiness.","Non-admin callers get 403.","Provider and environment signals are protected from tenant and public callers.","Keep admin-only and add an audit event when diagnostics are accessed.","solid","src/router.js"
"AOE-004","2026-05-12","Concept stats","Per-concept stats are tenant scoped.","`GET /v1/concepts/:id/stats` filters invocations by concept id and tenant unless admin.","The route returns invocation count, cache rate, error rate, and latency percentiles from scoped rows.","This avoids cross-tenant metric leakage for concept-specific stats.","Keep scoped filtering and test with two tenants.","solid","src/router.js"
"AOE-005","2026-05-12","Invocation metrics","Runtime invocation rows avoid input/output bodies.","`logInvocation` inserts version id, concept id, tenant, latency, cache, error, and timestamp.","The row does not include raw input or output.","This is a good minimal telemetry primitive.","Keep metrics minimal and define retention for invocations.","solid","src/runtime.js; src/store.js"
"AOE-006","2026-05-12","Local audit hook","Local artifact runs can emit a callback audit entry.","`runArtifact` builds `kolm-audit-1` entries and invokes `opts.audit`; tests assert callback behavior.","This is a local callback hook, not a hosted durable audit log.","Useful for SDK/CLI integrations if documented as local hook output.","Keep the hook and add redaction controls for previews.","solid","src/artifact-runner.js; tests/artifact-end-to-end.test.js"
"AOE-007","2026-05-12","Webhook idempotency","Stripe event ids are persisted to prevent duplicate processing.","Webhook code records `stripe_events` id/type/received_at and returns idempotent success for repeats.","This proves basic idempotency for billing events.","Good foundation for billing audit, but tenant-visible event history is still missing.","Link Stripe events to audit events and tenant plan-change rows.","solid","src/router.js; tests/stripe.test.js"
"AOE-008","2026-05-12","Audit log","Every data-touching action leaves a per-tenant audit entry.","`public/audit-log.html` says every action leaves an entry and shows JSON/CSV/JSONL exports.","`GET /v1/audit/log` always returns 503 `audit_log_beta` with `entries: []`.","Regulated buyers can treat the claim as shipped evidence when it is a stub.","Mark the page as planned/beta or implement the durable event log before using this claim.","open","public/audit-log.html; src/router.js"
"AOE-009","2026-05-12","Audit opt-in","Tenants can opt into audit logging with `POST /v1/account/audit-log`.","Audit page and route comment name the opt-in endpoint.","No matching route was found in `src/router.js`.","Users are instructed to call an endpoint that does not exist.","Add the route or remove opt-in instructions.","open","public/audit-log.html; src/router.js"
"AOE-010","2026-05-12","Audit storage","Audit events are stored durably and append-only.","Store facade supports arbitrary tables, but no audit event table or event writer was found.","Current evidence is split across operational tables and callbacks.","No single ledger can answer who did what, when, and with which redaction policy.","Add `audit_events` plus a shared `recordAudit` helper.","open","src/store.js; src/router.js; src/runtime.js"
"AOE-011","2026-05-12","Audit export","Audit logs are queryable as JSON, CSV, and JSONL.","Audit page has Export JSON, Export CSV, and Raw JSONL controls.","The route ignores format and returns a 503 JSON beta envelope.","Export buttons imply available evidence that cannot be retrieved.","Implement formats and tests or hide controls until available.","open","public/audit-log.html; src/router.js"
"AOE-012","2026-05-12","Capture audit","Capture writes hash-only audit metadata.","Audit page claims capture logs tenant, namespace, model, input/output hashes, latency, and timestamp.","Capture routes insert observations with prompt/response slices and no audit event.","Capture evidence is mixed with training corpus storage and lacks a signed audit row.","Write a redacted capture audit event separate from observation bodies.","open","public/audit-log.html; src/router.js; src/capture.js"
"AOE-013","2026-05-12","Label export audit","Label exports are logged with namespace, format, and row count.","Audit page lists label export as an audited operation.","`/v1/labels/synthesize-corpus` returns corpus rows but no audit event was found.","Large prompt/output exports can occur without tenant-visible evidence.","Log export metadata and enforce export audit tests.","open","public/audit-log.html; src/router.js"
"AOE-014","2026-05-12","Distill audit","Auto-distill jobs are audit logged.","Audit page lists distill job fields and API docs say auto-distill hands off to a bridge.","Auto-distill posts to an external bridge and no local callback/status/audit event was found.","A training handoff can happen without a local evidence trail or completion record.","Create local distill job and audit events before and after bridge calls.","open","public/audit-log.html; public/api.html; src/router.js"
"AOE-015","2026-05-12","Compile audit","Compile and artifact signing produce audit log entries.","Audit page lists compile metadata including manifest hash and signature.","Compile jobs store job state and receipts, but no append-only audit log entry was found.","A signed artifact may exist without a tenant audit event tying it to actor and request context.","Record compile queued/completed/failed/signing events with manifest and artifact hashes.","open","public/audit-log.html; src/compile.js; src/router.js"
"AOE-016","2026-05-12","Account audit","Plan changes and key rotation are audit logged.","Audit page lists plan change and key rotation fields.","Plan/key routes update tenant state; Stripe events store id/type, but no tenant audit row was found.","Security-sensitive account changes lack customer-visible evidence.","Log actor, old/new prefixes, plan ids, Stripe event ids, and timestamps.","open","public/audit-log.html; src/router.js; src/auth.js"
"AOE-017","2026-05-12","Receipt metrics","`receipts_verified` counts verified receipts.","Telemetry comments state `receipts_verified` is a legacy alias for successful invocation count.","The value is not tied to `/v1/receipts/verify` calls.","Dashboard metrics can overstate verification adoption.","Rename the field or back it with a `receipt_verifications` table.","open","src/router.js; public/trust.html"
"AOE-018","2026-05-12","Receipt issuance","`receipt_bearing_runs` counts only runs that actually returned receipts.","`/v1/run` allows `receipt: false`; invocation logging happens inside runtime before the route conditionally adds a receipt.","Telemetry counts successful invocations, not actual issued receipts.","Receipt opt-out can still inflate receipt-bearing metrics.","Record receipt issuance after the route attaches a receipt.","open","src/router.js; src/runtime.js"
"AOE-019","2026-05-12","Verification ledger","Receipt verification calls are recorded.","`POST /v1/receipts/verify` verifies HMAC receipts and returns results.","No insert/update for verifier events was found in the route.","Invalid, failed, successful, and unavailable verifier calls cannot be audited or counted accurately.","Add verifier event rows with tenant/anonymous mode, result, reason, and receipt id/hash.","open","src/router.js"
"AOE-020","2026-05-12","Error traceability","Every API error includes `code` and `request_id`.","`public/api.html` promises JSON errors with `error`, `code`, and `request_id`.","Source search found no request-id middleware; many routes return bare `{error}` or text/plain webhook errors.","Support cannot correlate customer failures to logs or incidents reliably.","Add request-id middleware, standard error helper, and docs snapshots.","open","public/api.html; src/router.js"
"AOE-021","2026-05-12","Receipt error contract","Receipt verifier exposes documented rotated-secret status codes.","API docs list a 410 rotated-secret behavior.","Receipt verifier returns 503 when the server lacks a secret and 200 invalid envelopes for verification failures.","Client handling and docs can diverge for verifier failures.","Align docs and code around explicit verifier error states.","open","public/api.html; src/router.js"
"AOE-022","2026-05-12","Status uptime","Status page uptime windows are computed from probe history.","`public/status.html` shows 24-hour, 7-day, and 30-day uptime percentages.","The values are hardcoded in HTML, not derived from stored probe history.","Static uptime figures can become misleading operational evidence.","Back uptime windows with monitor data or label them as illustrative.","open","public/status.html"
"AOE-023","2026-05-12","Incident log","Recent incidents are backed by an incident store.","Status page says it is a public log of every degradation longer than 60 seconds.","Incident entries are static HTML and no incident table/source was found in the audited route surfaces.","Manual static incidents can omit or stale real outages.","Add incident data source, owner workflow, and freshness metadata.","open","public/status.html; src/store.js"
"AOE-024","2026-05-12","Status readiness rendering","Status page consumes the `/ready` schema correctly.","Status JS tries to display `json.version`, `json.uptime_s`, `c.public`, and `c.hint`.","`/ready` emits no version or uptime and maps check `public` text to `label`, without hints.","The readiness panel can show internal names and omit useful guidance.","Either emit the fields the page reads or update the page to use `label`.","open","public/status.html; src/router.js; src/env.js"
"AOE-025","2026-05-12","Status monitoring","A 60-second polling cron backs the trust/status page.","Trust page says the public dashboard has a 60s polling cron.","Repo search found this as public copy, while the status page probes from the browser at view time.","The claim implies continuous external monitoring that is not evidenced in source.","Add monitor workflow evidence or remove the cron wording.","open","public/trust.html; public/status.html"
"AOE-026","2026-05-12","Hash-only outputs","Plaintext output is never stored, only SHA-256 hashes.","Trust page says receipts store hash-only output evidence.","Hosted capture stores response slices in observations and label export returns full pairs.","Hash-only wording is too broad across hosted capture and training paths.","Scope hash-only wording to receipt metadata, not capture corpus storage.","open","public/trust.html; src/router.js"
"AOE-027","2026-05-12","Observation purge","Raw observation text is opt-in and purgeable.","Audit page says raw text lives in observations only if opted in and can be deleted via `/v1/observations/purge`.","Hosted capture stores observations automatically and no purge route was found.","Privacy and audit copy can misrepresent retention controls.","Implement namespace purge/retention or remove the purge claim.","open","public/audit-log.html; src/router.js"
"AOE-028","2026-05-12","Local audit preview","Audit callbacks avoid sensitive input text.","Artifact runner audit entries include `input_preview`, and the test asserts the preview contains an email-like input.","The local hook can expose sensitive preview data to whatever sink the caller provides.","Hook users may forward previews to external logs without realizing it.","Add redaction/default-off preview settings and document sink responsibility.","open","src/artifact-runner.js; tests/artifact-end-to-end.test.js"
"AOE-029","2026-05-12","Observability coverage","Launch tests protect audit and telemetry contracts.","Tests cover telemetry status and total invocations, plus local audit callback shape.","No tests were found for audit-log export, audit opt-in, receipt verification metrics, request ids, or status readiness schema.","Operational evidence can regress silently.","Add focused route and static tests for audit/status/error/receipt metrics.","open","tests/e2e.test.js; tests/artifact-end-to-end.test.js; tests/site.test.js"
