"id","date","area","surface_or_claim","official_or_code_evidence","kolm_code_truth","risk_or_opportunity","recommended_action","status","sources"
"CTI-001","2026-05-13","Local capture","Kolm can capture OpenAI and Anthropic-compatible traffic today.","`kolm capture` writes config; `/v1/capture/openai` and `/v1/capture/anthropic` proxy calls and record observations.","This is a real source-owned trace path, but only for direct provider proxying.","Use as baseline for importer schema and trace normalization.","Keep current capture path as the local source baseline.","solid","cli-capture-import-current; src-capture-import-current; src-router-import-current"
"CTI-002","2026-05-13","Local export","Kolm can export captured pairs as labels.","`kolm labels` calls `/v1/labels/synthesize-corpus` and can write JSONL or JSON from observations.","This provides the first internal trace-to-dataset primitive.","Treat this as the local target format for external importer fixtures.","Use labels export as the local target fixture.","solid","cli-capture-import-current; src-router-import-current"
"CTI-003","2026-05-13","Local importer","Kolm has external competitor importers.","Source search found no `kolm import` command or competitor-specific connector for Langfuse, LangSmith, Braintrust, Helicone, Phoenix, Weave, OpenPipe, LiteLLM, Vercel, Cloudflare, or Portkey.","The strongest competitor wedge is not implemented.","Imported competitor traces are the highest-leverage acquisition path.","Add `kolm import <source>` with fixtures before building more dashboard UI.","open","local-import-search-2026-05-13"
"CTI-004","2026-05-13","Trace schema","Kolm has a source-neutral trace/eval schema.","Local code stores observations with provider-specific prompt/response fields and no canonical external trace row schema.","Importer work will fragment without a shared schema.","Schema-first import prevents one-off connector drift.","Create `kolm-trace-1` with source IDs, input, output, expected, scores, model, cost, latency, consent, and redaction fields.","open","src-router-import-current; competitor-trace-import-wedge-audit-2026-05-13.md"
"CTI-005","2026-05-13","Langfuse","Langfuse can feed traces and observations into Kolm.","Official docs expose public APIs, SDK trace list/get, observations, scores, datasets, metrics, manual UI export, and blob storage export.","Kolm has no Langfuse importer.","Langfuse is the best first importer because it is open-source and source-compatible with self-hosted buyers.","Build Langfuse query/export fixture and normalization tests first.","open","langfuse-public-api-2026-05-13; langfuse-query-sdk-2026-05-13"
"CTI-006","2026-05-13","Langfuse datasets","Langfuse scores and datasets can become eval cases.","Langfuse SDK docs expose `api.datasets`, `api.dataset_items`, scores, trace queries, and observation queries.","Kolm K-score does not consume Langfuse score/rubric metadata.","External eval evidence would be lost or hand-mapped.","Map Langfuse scores and dataset items into Kolm eval cases with provenance.","open","langfuse-query-sdk-2026-05-13"
"CTI-007","2026-05-13","LangSmith traces","LangSmith can export trace runs at scale.","Official docs describe bulk trace export to S3-compatible buckets in Parquet format with fields for run IDs, trace hierarchy, inputs, outputs, tags, feedback, costs, and tokens.","Kolm has no LangSmith bulk import path.","Enterprise LangChain users already have source trace data Kolm could compile from.","Add LangSmith Parquet/SDK importer after Langfuse.","open","langsmith-bulk-export-2026-05-13"
"CTI-008","2026-05-13","LangSmith SDK","LangSmith traces can be queried without bulk export.","Official docs recommend `list_runs` SDK or `/runs/query` API for trace queries and bulk export for high volume.","Kolm has no API/SDK pull mode.","Small proof fixtures can use query APIs before bulk export plumbing.","Start with SDK/query fixture, then add Parquet bulk mode.","open","langsmith-query-sdk-2026-05-13"
"CTI-009","2026-05-13","Braintrust API","Braintrust can feed datasets, experiments, logs, and scorers.","Official API docs cover projects, experiments, datasets, production logs, prompts, tools, scorers, and results.","Kolm has no Braintrust importer or scorer mapping.","Braintrust is close to K-score workflow; Kolm must consume rather than duplicate it.","Map Braintrust datasets and scores into artifact eval gates.","open","braintrust-api-2026-05-13"
"CTI-010","2026-05-13","Braintrust query","Braintrust BTQL can retrieve high-scoring traces.","Official docs show BTQL queries over project logs with input, output, and scores fields.","Kolm has no BTQL adapter.","BTQL could select high-confidence compile candidates quickly.","Build a BTQL example query and convert rows to `kolm-trace-1`.","open","braintrust-api-2026-05-13"
"CTI-011","2026-05-13","Helicone datasets","Helicone datasets can become Kolm examples.","Official docs describe selecting requests into datasets and exporting for fine-tuning or analysis in JSONL/CSV formats.","Kolm has no Helicone dataset importer.","Helicone owns a practical request-log-to-dataset path Kolm can consume.","Build Helicone dataset import as second importer.","open","helicone-datasets-2026-05-13"
"CTI-012","2026-05-13","Helicone export","Helicone has bulk request export tooling.","Official docs describe request query APIs and an `npx` export CLI with JSONL/CSV and body inclusion options.","Kolm has no Helicone export reader.","A Helicone JSONL path can become the fastest real-traffic proof.","Normalize Helicone export rows to `kolm-trace-1`.","open","helicone-export-2026-05-13; helicone-request-api-2026-05-13"
"CTI-013","2026-05-13","Phoenix","Phoenix can import and export traces.","Official Phoenix docs describe trace import/export, CLI trace export, REST access, OTLP collection, datasets, experiments, and evals.","Kolm has no Phoenix importer.","Phoenix is open-source adjacent and useful for self-hosted teams.","Add Phoenix CLI/REST import after Langfuse and Helicone.","open","phoenix-export-2026-05-13; phoenix-overview-2026-05-13"
