"id","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"HCR-001","Focused site claim gate currently fails.","`node --test .\tests\site.test.js` fails one static text test because `public/index.html` contains `PHI never leaves`.","The test gate is active and blocks the exact forbidden phrase.","A deploy from this worktree would carry a regulated-data guarantee already identified as unsafe.","Remove or scope the phrase to customer-controlled deployment proof before release.","open","tests/site.test.js; public/index.html"
"HCR-002","Homepage metadata claims a model-bearing artifact.","Meta and social descriptions say the artifact contains model, examples, evaluator, and receipts.","`src/artifact.js` says `model.gguf` is a pointer record today and LoRA weights are future.","Search snippets can overclaim even if body copy is later fixed.","Rewrite metadata around recipe-tier artifact proof.","open","public/index.html; src/artifact.js"
"HCR-003","Homepage social metadata claims phone/runtime portability.","OG and Twitter descriptions say the artifact runs on a laptop or phone and user data never moves.","Native/mobile runners and model-bearing artifacts remain product gates, not current proof.","Link previews can imply shipped phone/runtime support.","Replace with scoped local JS recipe execution wording.","open","public/index.html; README.md; src/compile.js"
"HCR-004","Homepage keywords target regulated/compliance claims.","Keywords include healthcare and EU AI Act terms.","Compliance research found implemented controls and legal artifacts are incomplete.","SEO can attract regulated buyers with expectations the product cannot yet satisfy.","Use regulated keywords only with careful current-state compliance pages.","open","public/index.html; compliance-security-posture-audit-2026-05-12.md"
"HCR-005","Local JSON-LD claims on-device runtime with zero egress.","Structured data lists on-device runtime and zero-egress behavior.","Current proof is local deterministic JS recipes plus benchmark egress monitoring, not general on-device model runtime.","Search engines may index machine-readable overclaims invisible in visual review.","Add JSON-LD claim linting and render only proof-backed features.","open","public/index.html; tests/artifact-end-to-end.test.js"
"HCR-006","Local JSON-LD claims optional Sigstore co-signature.","Structured data lists optional Sigstore co-signature.","Current receipt and artifact signatures are HMAC-based; public-key and transparency-log modes are roadmap.","Security buyers can treat structured data as implemented supply-chain proof.","Remove until release workflow and public verifier exist.","open","public/index.html; src/artifact.js; src/router.js"
"HCR-007","Local JSON-LD embeds BAA and VPC offers.","Offer schema describes BAA availability and optional VPC peering.","Prior compliance and billing audits found legal/control and entitlement evidence incomplete.","Machine-readable offer data can become sales collateral without review.","Move regulated offers behind reviewed plan/entitlement evidence.","open","public/index.html; billing-plan-enforcement-audit-2026-05-12.md; compliance-security-posture-audit-2026-05-12.md"
"HCR-008","Homepage FAQ claims every compile is strictly better.","FAQ and JSON-LD say the K-score gate refuses regressions so each compile is strictly better.","Tune and K-score research found gates and improvement semantics are not yet universal.","Users can infer automatic learning guarantees from ordinary recompiles.","Say K-score can block known regressions on supplied evals, not guarantee monotonic improvement.","open","public/index.html; tune-evolution-governance-audit-2026-05-12.md"
"HCR-009","Homepage FAQ claims `.kolm` contains a small model.","Visible FAQ and JSON-LD say the artifact contains a small model.","Current `.kolm` fixtures contain recipes, evals, metadata, optional slots, and HMAC receipts, not model weights.","This revives the central artifact-truth gap on the highest-traffic page.","Use artifact anatomy language: manifest, recipes, evals, receipt, optional slots.","open","public/index.html; src/artifact.js; artifact-truth-audit-2026-05-12.md"
"HCR-010","Compile animation claims model specialization.","Scripted homepage copy says compile specializes a model, stamps K-score, signs, and writes a patient-intake artifact.","`src/compile.js` marks LoRA/model training as later work and current sample fixtures are recipe-tier.","Animated demos can become stronger proof than static copy.","Generate homepage terminal examples from verified fixture commands only.","open","public/index.html; src/compile.js; test/fixtures"
"HCR-011","Demo output claims on-device host.","Homepage scripted output includes an on-device host marker.","No native/mobile/on-device artifact runner proof was found; browser/offline proof is scoped and separately audited.","The demo implies runtime placement that has not been verified.","Replace host with the actual local CLI/browser proof label or omit it.","open","public/index.html; device-offline-browser-governance-audit-2026-05-12.md"
"HCR-012","Use-case card claims signed local model replacement.","The SaaS card says paid calls become training data and Kolm builds a signed local model that does the same job for free.","Capture, local tune, and adapter-backed promotion are preview or target architecture.","Cost-savings and model-replacement claims need benchmark and quality proof.","Reframe as a target workflow until capture-to-artifact proof exists.","open","public/index.html; capture-distillation-governance-audit-2026-05-12.md; tune-evolution-governance-audit-2026-05-12.md"
"HCR-013","Healthcare card uses the exact blocked regulated phrase.","The healthcare card says `PHI never leaves the network`.","Current hosted compile/capture paths can receive and store sensitive data; customer-controlled deployment boundaries are not the default public product.","This is the direct failing gate and highest legal/trust risk in the local homepage.","Rewrite with customer-controlled deployment caveat or remove from homepage.","open","public/index.html; tests/site.test.js"
"HCR-014","Legal card implies no vendor sees privileged material.","The legal card says local inference runs on privileged material with no vendor in the loop.","Current cloud compile, capture, hosted run, and local artifact modes have different data boundaries.","A broad no-vendor claim can mislead legal buyers.","Scope to local artifact runtime after compile and disclose hosted steps separately.","open","public/index.html; tenant-data-lifecycle-audit-2026-05-12.md"
"HCR-015","Phone card claims zero network and airplane-mode inference.","The device card says inference runs on the phone with zero network and airplane-mode support.","Current browser/PWA recipe-registry mode is the safest scoped proof; native model runtime is not shipped.","Phone-native model inference claims are easy to falsify.","Use recipe-registry PWA wording or mark target architecture.","open","public/index.html; device-offline-browser-governance-audit-2026-05-12.md"
"HCR-016","Homepage says one signed file runs on an air-gapped box.","Use-case copy says one signed file can run on laptop, phone, server, and air-gapped box.","Artifact files are signed, but runtime target support and airgap enforcement differ by mode.","Airgap language should require explicit proof and environment assumptions.","Tie airgap copy to benchmarked recipe-tier local CLI only, or remove it.","open","public/index.html; benchmark-reproducibility-audit-2026-05-12.md"
"HCR-017","Homepage claims no kill switch and decade-long portability.","Artifact card says the file can run next year offline with no kill switch.","Current artifacts rely on JS runtime/source compatibility and HMAC secrets for verification; model/runtime bundles remain future.","Long-term portability is plausible only with a versioned conformance story.","Add runtime/conformance version caveats.","open","public/index.html; artifact-truth-audit-2026-05-12.md"
