"id","date","area","checksum_target","canonical_payload","included_fields","excluded_fields","validation_rule","risk","status","sources"
"ICC-001","2026-05-13","Standard","JSON rows","RFC 8785 JCS canonical JSON UTF-8 bytes.","Domain envelope plus payload.","Pretty spacing insertion-order output and tool-specific serialization.","JCS test vectors must pass before import tests run.","Different runtimes can hash different bytes for the same JSON.","open","rfc8785-json-canonicalization-2026-05-13"
"ICC-002","2026-05-13","Digest Format","JSON row checksum","sha256:jcs-rfc8785:<hex>.","Algorithm prefix canonicalization prefix and lowercase hex digest.","Bare hex digests without method.","Harness rejects unprefixed row checksums.","Ambiguous digests make migrations and audits brittle.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-003","2026-05-13","Digest Format","Byte checksum","sha256:bytes:<hex>.","Exact file or raw sidecar bytes.","Parsed JSON semantic object.","Harness verifies byte checksum changes on whitespace-only source file edits.","Semantic checksums cannot prove exact export provenance.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-004","2026-05-13","Domain Separation","source row","kolm.import.source_row envelope.","domain checksum_rule source_system source_file source_row_id payload.","Bare source object.","Harness rejects source row checksums without domain envelope.","Same payload can otherwise collide across row roles.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-005","2026-05-13","Domain Separation","normalized row","kolm.import.normalized_row envelope.","domain checksum_rule privacy_mode spec row_id payload.","row_checksum generated_at transient process id signatures.","Harness verifies checksum changes when privacy_mode changes.","Output mode differences can be hidden if privacy mode is omitted.","open","trace-import-privacy-policy-2026-05-13.md; import-canonical-checksum-rules-2026-05-13.md"
"ICC-006","2026-05-13","Source File","traces.json","Exact file bytes.","Full bytes as exported or fixture-authored.","Parsed trace object only.","Whitespace edit changes sha256:bytes checksum while source row checksum may remain stable.","File provenance and semantic row provenance answer different questions.","open","langfuse-fixture-file-matrix-2026-05-13.csv"
"ICC-007","2026-05-13","Source File","observations pages","Exact observation page bytes.","Page file path page index and file checksum in manifest.","Merged observation export without page refs.","Harness requires checksums for every cursor page file.","Pagination completeness cannot be audited without page refs.","open","langfuse-observations-api-blueprint-2026-05-13; langfuse-fixture-pack-blueprint-2026-05-13.md"
"ICC-008","2026-05-13","Source Row","Langfuse trace","Parsed trace row object in source envelope.","id timestamp userId sessionId tags environment metadata and unknown fields.","Redacted identity or normalized timestamp.","Harness verifies source row checksum is independent of privacy mode.","Source checksum must prove what was imported before privacy transforms.","open","langfuse-fixture-pack-blueprint-2026-05-13.md"
"ICC-009","2026-05-13","Source Row","Langfuse observation","Parsed observation object in source envelope.","core basic time IO metadata model usage prompt metrics fields when present.","Mapped Kolm field names and converted latency.","Harness detects source value changes before normalization.","Field loss is hard to audit if only normalized rows are hashed.","open","langfuse-observations-api-blueprint-2026-05-13"
"ICC-010","2026-05-13","Source Row","Langfuse score","Parsed score object in source envelope.","id name dataType value stringValue comment configId target IDs.","score-map result or eval_use.","Harness source checksum does not change when score-map config changes.","Score source evidence and local interpretation must be separable.","open","langfuse-scores-blueprint-2026-05-13; external-score-normalization-audit-2026-05-13.md"
"ICC-011","2026-05-13","Source Row","Langfuse dataset item","Parsed dataset item object in source envelope.","input expectedOutput metadata sourceTraceId sourceObservationId status version fields.","Artifact eval allowlist output.","Harness source checksum includes source links while evalcase checksum excludes them.","Source linkage must be retained for audit but denied from artifacts.","open","langfuse-datasets-blueprint-2026-05-13; trace-eval-schema-spec-2026-05-13.md"
"ICC-012","2026-05-13","Malformed Source","invalid JSON row","File byte checksum plus parse-loss row only.","source_file checksum source_path loss code count.","Invented parsed payload checksum.","Harness rejects semantic source row checksum for malformed JSON.","Invalid rows cannot have trustworthy semantic row hashes.","open","langfuse-fixture-pack-blueprint-2026-05-13.md"
"ICC-013","2026-05-13","Normalized Row","trace row","Post-privacy normalized kolm-trace-1 payload.","spec row_id source allowed refs identity hash routing timestamps input output metrics.","checksum field direct user ID direct session ID raw sidecar content.","Harness deny-lists direct IDs and validates row checksum excludes itself.","Self-referential checksums and identity leaks break audit semantics.","open","trace-import-privacy-matrix-2026-05-13.csv"
"ICC-014","2026-05-13","Normalized Row","score row","Post-privacy kolm-score-1 payload.","score id source refs name type value string value comment policy attachment eval_use.","k_score eval_score artifact score fields.","Harness fails any imported score row with K-score fields.","External scores must not become Kolm proof metrics.","open","external-score-normalization-audit-2026-05-13.md"
"ICC-015","2026-05-13","Evalcase Row","artifact eval","Post-allowlist kolm-evalcase-1 payload.","case_id input expected allowlisted metadata.","sourceTraceId sourceObservationId score IDs direct user IDs direct session IDs privacy metadata.","Harness applies evalcase denylist before checksum.","Artifact-bound checksums must match artifact-bound privacy boundaries.","open","trace-eval-schema-spec-2026-05-13.md; langfuse-fixture-file-matrix-2026-05-13.csv"
"ICC-016","2026-05-13","Loss Row","redacted loss","kolm.import.loss_row envelope.","manifest id privacy mode source path code count sample_included false.","Raw source sample values.","Harness rejects sample_included true outside raw mode.","Loss reports can become shadow data stores.","open","trace-import-privacy-policy-2026-05-13.md"
"ICC-017","2026-05-13","JSONL File","normalized jsonl","Canonical line objects sorted by row_id.","file name line count row checksums joined-content checksum.","Pretty-printed multi-line rows.","Harness parses every line and checks stable row order.","Snapshot diffs become noisy and row omission can hide.","open","import-canonical-checksum-rules-2026-05-13.md"
"ICC-018","2026-05-13","Manifest","immutable content","kolm.import.manifest.content envelope.","spec manifest id source window file checksums row checksums privacy retention counts artifact refs.","manifest checksums signatures purge state last accessed debug timing.","Harness content checksum remains stable after purge state update.","Mutable lifecycle state should not rewrite import proof.","open","trace-import-manifest-purge-contract-2026-05-13.md"
