source,type,date_or_updated,core_data_or_observation,reliability,kolm_implication
Crunchbase Unicorn Board,market data board,2026-06-12,"1794 current private unicorns; USD 1.52T raised; USD 10T reported value; valuations based on most recently disclosed funding rounds",Tier 1 for reported private-market board data,"Treat unicorn status as a broad market label; compete on durable product quality, not valuation optics"
Crunchbase Q1 2026 global venture funding,venture funding report,2026-04-01,"USD 300B global venture investment in Q1 2026 across 6000 startups; AI received USD 242B or 80%; four major AI/autonomy rounds represented USD 188B or 65%",Tier 1 for Crunchbase reported funding data,"AI buyers see heavily funded, polished vendors; Kolm must show concrete product surfaces, control objects, and proof"
Crunchbase Q1 2026 North America funding,venture funding report,2026-04-06,"US and Canadian startups raised USD 252.6B in Q1; more than 87% went to AI-related categories; USD 222.4B or 88% went to late-stage and technology-growth rounds",Tier 1 for Crunchbase reported funding data,"The market is concentrated in perceived winners; Kolm should optimize for precision and leverage, not broad platform sprawl"
Axios summary of PitchBook undercorn research,secondary private-market analysis,2026-02-13,"More than one-quarter of VC-backed unicorns may fall below USD 1B under PitchBook mark-to-market; top 10 account for roughly 52% of aggregate value",Tier 2 because it summarizes PitchBook,"Avoid public valuation language; anchor claims to usage, controls, routes, artifacts, receipts, tests, and readiness gates"
TechCrunch Aileen Lee unicorn origin piece,foundational historical analysis,2013-11-02,"Original unicorn analysis found 39 US software companies started since 2003; estimated about 0.07% of venture-backed consumer and enterprise software startups; enterprise unicorns had strong value per private dollar",Tier 2 historical framing,"Unicorns moved from rare label to crowded category; durable enterprise value remains tied to capital efficiency and deep workflow ownership"
MIT AI Agent Index 2025,academic/product transparency index,2026-05-06 revision,"30 prominent agents annotated across 45 fields; only 4 of 13 frontier-autonomy agents disclosed agentic safety evaluations; 25 of 30 disclosed no internal safety results; 23 of 30 had no third-party testing",Tier 1/2 research index with transparent methodology,"Kolm can differentiate by making evaluation, receipts, lineage, and readiness gates visible instead of hiding agent risk"
Cursor Enterprise,official product surface,2026 observed,"Enterprise page exposes model access, MCP controls, system-level agent rules, SAML SSO, SCIM, centralized controls, usage/cost limits, analytics exports, zero data retention language, trust center",Tier 1 official product page,"Kolm account control center must expose model/provider controls, connector controls, permissions, usage, export, and audit as first-class objects"
Databricks AI product page,official product surface,2026 observed,"Databricks frames AI around data-connected agents, custom evaluation, governance, guardrails, access controls, rate limits, lineage, model serving, MLflow, Unity Catalog, and AI Gateway",Tier 1 official product page,"Kolm should not be generic AI; it must own behavior-to-artifact lifecycle with evaluation gates and governance exports"
Glean product page,official product surface,2026 observed,"Glean emphasizes connectors, actions, model hub, APIs, security, MCP gateway, permissions, observability, governance, company context, work execution, and tools where employees already work",Tier 1 official product page,"Kolm needs broad ingress/egress coverage and permission-aware enterprise context without becoming generic workplace search"
Harvey homepage/security copy,official product surface,2026 observed,"Harvey presents assistant, vault, knowledge, workflow agents, shared spaces, enterprise controls, SAML SSO, audit logs, IP allow-listing, data lifecycle management, and security/compliance posture",Tier 1 official product page,"High-stakes vertical AI buyers expect workflow depth and procurement-grade controls by default"
Ramp platform page,official product surface,2026 observed,"Ramp shows spend controls, policy enforcement, roles, workflow builder, approvals, purchase tracking, integrations, APIs, ERP sync, multiple entities, and operations automation",Tier 1 official product page,"Best unicorn pages show the controlled business object and workflow states; Kolm pages should expose sources, traces, policies, artifacts, receipts, exports, and gates"
Business Insider/TRAC future-unicorn analysis,secondary startup prediction analysis,2026-03-04,"TRAC uses 30+ data sources; top-investor signal eliminates most startups; reported investor demand can exceed round sizes by 10x; five companies crossed USD 1B while article was in progress",Tier 2 predictive analysis,"Future-unicorn formation is faster and more competitive; Kolm needs category clarity before growth messaging"
OpenAI Business,official product surface,2026 observed,"Business page presents API platform, agents, app integrations, enterprise-grade security, admin controls, SAML SSO, privacy, retention, and compliance posture",Tier 1 official product page,"Kolm public pages must expose API paths, admin controls, privacy posture, and evidence-backed trust instead of generic AI claims"
Anthropic Claude pricing and enterprise flow,official product surface,2026 observed,"Enterprise recommendation flow asks about team size, security and compliance needs, usage, contract type, SCIM, audit logs, access controls, HIPAA-ready needs, and tailored contracts",Tier 1 official product page,"Kolm enterprise signup and control center should route buyers by security posture, usage shape, contract needs, and admin-control requirements"
Vercel AI Gateway,official docs,2026-03-17,"AI Gateway provides one key across hundreds of models, unified API, retries/fallbacks, embeddings, spend monitoring, BYOK, and OpenAI/Anthropic compatibility",Tier 1 official docs,"Kolm should match gateway ergonomics but differentiate through capture, eval gates, artifacts, receipts, runtime targets, and governance exports"
Stripe API docs,official docs,2026 observed,"API docs emphasize resource-oriented URLs, standard verbs/status codes, JSON responses, authentication, sandboxes, versioning, and object-per-request semantics",Tier 1 official docs,"Kolm APIs need predictable resource contracts, sandbox/test behavior, versioning, idempotency, clear errors, and examples for each product object"
Supabase docs,official docs,2026 observed,"Docs expose database, auth, storage, realtime, edge functions, REST API, GraphQL API, SDKs, management API, migration guides, integrations, and self-hosting paths",Tier 1 official docs,"Kolm docs should support API, SDK, CLI, migration/import, management, integration, and BYOC/self-hosted-style paths"
Pioneer Agent paper,academic paper,2026-04-10,"Pioneer Agent automates closed-loop small-language-model improvement through data curation, failure diagnosis, regression avoidance, retraining, and verification",Tier 1 research paper for described method/results,"Kolm should beat Pioneer by adding enterprise policy, behavior capture, portable artifacts, receipts, runtime targets, and governance exports around the improvement loop"
Agent-First Tool API paper,academic paper,2026-05-11,"Proposes search, resolve, preview, execute, verify, recover semantics plus normalized tool contracts, evidence chains, capability policies, and risk escalation for enterprise agent systems",Tier 2 emerging research because claims are paper-reported,"Kolm API/control-center design should treat agent/API actions as governed state transitions with evidence and recovery, not only CRUD logs"
Compound AI enterprise architecture paper,academic paper,2025-04-10,"Frames enterprise AI as orchestration of agents, proprietary data, registries, streams, planners, and QoS requirements such as cost, accuracy, and latency",Tier 2 research architecture,"Kolm should expose registries, source metadata, streams, planner/eval state, and cost/quality/latency controls as product objects"
Glean Developer Platform,official developer docs,2026 observed,"Developer surface exposes MCP setup across coding tools, client APIs, indexing APIs, OpenAPI specs, governance, verification, permission-aware access, and 100+ app connector positioning",Tier 1 official docs,"Kolm docs should expose MCP/tool traces, OpenAPI, verifier examples, governance objects, indexing/import APIs, and permission-aware connector semantics"
Stripe idempotency docs,official API docs,2026 observed,"Stripe documents idempotency keys for safely retrying state-changing requests, parameter comparison on retries, key pruning behavior, and POST-only application",Tier 1 official docs,"Kolm should define idempotency for compile runs, exports, release promotion, webhook delivery, and any state-changing enterprise route"
PACE paper,academic paper,2026-05-21,"Studies two-timescale self-evolution for frozen SLM agents through low-risk prompt refinement and higher-risk control-logic updates accepted through held-out validation",Tier 2 emerging research,"Kolm artifact lifecycle should store prompt/control changes, acceptance gates, rejected updates, holdout status, and rollback targets"
Polaris paper,academic paper,2026-05-14 revision,"Frames compact-model policy repair through experience abstraction, failure analysis, small auditable policy patches, and conservative checks",Tier 2 emerging research,"Kolm should treat policy repair and improvement steps as auditable artifacts tied to failures, evals, receipts, and readiness gates"
Business Insider tiny-team AI unicorns,secondary startup reporting,2025-05 observed,"Profiles AI unicorns with very small teams and high valuation or revenue per employee, including coding, robotics, model, and research companies",Tier 2 secondary reporting,"Do not equate headcount with product maturity; Kolm should optimize for leverage but keep enterprise controls and evidence strong enough for procurement"
Portkey AI Gateway,official docs,2026 observed,"AI Gateway docs emphasize universal API access across supported models, simple and semantic cache, MCP support, fallbacks, advanced routing, and integrated guardrails",Tier 1 official docs,"Routing, fallbacks, and guardrails are table stakes; Kolm must differentiate through artifact compilation, receipts, target readiness, and governance exports"
Langfuse docs,official docs,2026 observed,"Docs expose tracing, prompt management, production and development evaluations, datasets, human annotations, custom scores, SDKs, framework support, and multimodal tracing",Tier 1 official docs,"Kolm should import traces and evals from tools like Langfuse, then turn evaluated behavior into signed artifacts and exportable proof"
Braintrust docs,official docs,2026 observed,"Docs organize the workflow around tracing, logs, human review, labels and corrections, datasets, exports, evaluations, and build/evaluate/improve loops",Tier 1 official docs,"Kolm should ingest Braintrust-like data and close the loop from failure to artifact instead of remaining an analysis dashboard"
vLLM docs,official docs,2026 observed,"Docs expose offline inference, online serving, OpenAI-compatible server, tool calling, structured outputs, observability, production metrics, deployment options, security, and integrations",Tier 1 official docs,"Kolm runtime readiness must be target-specific, with proof states and export recipes instead of blanket deployment claims"
MCP docs,official protocol docs,2026 observed,"MCP is presented as an open standard for connecting AI applications to external systems, tools, data sources, and workflows with broad ecosystem support",Tier 1 official protocol docs,"Kolm should support MCP as ingress and egress for agent/tool traces, artifact controls, and callable signed behaviors where appropriate"
AI Trust OS paper,academic paper,2026-04-06,"Argues enterprise AI governance should use continuous telemetry, proactive discovery, automated probes, and architecture-backed proof rather than point-in-time manual attestation",Tier 2 emerging research,"Kolm should make evidence over attestation a product principle and tie governance claims to traces, policies, receipts, and exports"
Governance-Aware Agent Telemetry paper,academic paper,2026-04-06,"Identifies the observe-but-do-not-act gap in agent observability and proposes governance telemetry, policy detection, enforcement bus, and cryptographic provenance",Tier 2 emerging research,"Kolm should connect telemetry to policy verdicts, enforcement handoffs, signed provenance, and artifact receipts"
Overlaying Governance paper,academic paper,2026-06-02,"Argues agentic systems need richer authorization semantics including inherited and delegated authority, time-limited authority, recursive delegation, and contextual scopes",Tier 2 emerging research,"Kolm API Control Center should model agent scopes and delegated authority as first-class audit and policy objects"
State of European Tech 2025,ecosystem report,2025 observed,"Frames Europe's tech ecosystem around scaling friction, funding gaps, strategic sectors such as AI, security, data centers, semiconductors, energy, and defense",Tier 2 ecosystem report,"Regional unicorn strategy depends on scaling capital and strategic infrastructure; Kolm should position around enterprise-grade control and exportable proof"
