"id","surface_or_claim","evidence","code_truth","risk","recommended_action","status","sources"
"RST-001","Server/local JS recipes use `node:vm`.","`src/verifier.js` imports `node:vm`, creates an empty context, and compiles wrapped recipe source.","Official Node documentation says `node:vm` is not a security mechanism for untrusted code.","Treating this as a production sandbox can turn public or customer recipes into code-execution risk.","Limit current JS runtime to trusted or curated recipes.","open","src/verifier.js; https://nodejs.org/api/vm.html"
"RST-002","Dangerous identifier denylist exists.","`src/verifier.js` blocks literal matches for process, require, module, globalThis, import, Function, eval, constructor, prototype, ArrayBuffer, SharedArrayBuffer, and Atomics.","A local probe confirmed `process`, `require`, `ArrayBuffer`, and oversized source are rejected.","The denylist blocks obvious escapes but is brittle and not proof of sandboxing.","Add focused denylist tests and avoid calling it a security boundary.","open","src/verifier.js; local compileJs probe"
"RST-003","Source size cap exists.","`assertSafeSource` rejects source larger than 64 KiB.","The local probe returned `source too large (>64 KiB)` for oversized source.","This reduces accidental payload size but not CPU, memory, or escape risk.","Keep cap and add tests for exact boundary behavior.","open","src/verifier.js; local compileJs probe"
"RST-004","Timeout is cooperative after execution.","`runWithTimeout` calls `fn()` first and checks elapsed time after return.","A non-returning loop will not return for the timeout check.","A malicious or buggy recipe can hang the Node process.","Move execution into a worker/process with killable timeout or use `vm` timeout options with strict limits as an interim guard.","open","src/verifier.js"
"RST-005","No memory limit exists for JS recipes.","Current verifier blocks ArrayBuffer strings but has no process or isolate memory limit.","Other allocation patterns or host-level memory pressure are not constrained by a runtime budget.","A hostile recipe can risk process stability.","Run untrusted recipes outside the main process with memory caps.","open","src/verifier.js"
"RST-006","No determinism guard exists.","Recipe source can use allowed globals such as Date or Math unless blocked by absence/context behavior.","`verify` checks examples but not deterministic replay or randomness.","A recipe can pass a small eval set and later produce unstable results.","Add deterministic replay tests and block randomness/time for artifact conformance.","open","src/verifier.js; src/artifact-runner.js"
"RST-007","Artifact signature verification is real.","`loadArtifact` verifies `signature.sig` before exposing recipes.","Fixture tests cover signature load and tampered manifest rejection.","This proves artifact integrity before execution, not sandbox safety after execution starts.","Keep signature gate and separate it from runtime isolation claims.","solid","src/artifact-runner.js; tests/artifact-end-to-end.test.js"
"RST-008","Artifact input cap exists.","`runArtifact` rejects inputs over 1 MiB.","Artifact tests cover oversized input rejection.","This protects local artifact runner payload size, not hosted registry runtime or CPU/memory limits.","Add route-level input caps for `/v1/run` and `/v1/public/run` too.","solid","src/artifact-runner.js; tests/artifact-end-to-end.test.js"
"RST-009","Local artifact run receipts are unsigned metadata.","`runArtifact` returns `rs-1-run` with ids and timestamp but no HMAC/signature.","Receipt research already found local run metadata is weaker than API HMAC receipts.","Runtime proof can be overstated if local run metadata is called a cryptographic receipt.","Design signed local-run receipts or label this as audit metadata.","open","src/artifact-runner.js; receipt-verification-truth-2026-05-12.md"
"RST-010","Runtime registry execution uses the same verifier path.","`src/runtime.js` calls `compileJs` for version source and invokes the compiled function.","Hosted `/v1/run`, compose, and public run inherit the same cooperative JS execution model.","A bad registry version can affect server runtime paths.","Add trust levels and worker isolation before executing public/untrusted versions.","open","src/runtime.js; src/verifier.js"
"RST-011","Hosted runtime layer has no explicit input cap in `runtime.runVersion`.","`runVersion` accepts `input`, checks cache, and calls the compiled function.","The 1 MiB cap is in `runArtifact`, not the hosted registry runtime layer.","Large inputs can stress cache, logging, and recipe execution.","Add shared input-size enforcement across route and runtime layers.","open","src/runtime.js; src/artifact-runner.js"
"RST-012","Manual verify and publish accept executable source.","`/v1/verify` and `/v1/publish` call `compileJs(source)`.","Authenticated tenants can submit source; publish can create public concepts.","Customer-edited source is not equivalent to trusted generated source.","Attach trust metadata and route untrusted source to a safer worker.","open","src/router.js; src/registry.js"
"RST-013","Public visibility is not a trust policy.","`visibility: public` controls read/run/export availability.","There is no reviewed, curated, or public-untrusted trust field in concept/version rows.","Any public row can look equally safe to users and SDKs.","Add version trust levels and review state before public run/export.","open","src/registry.js; src/router.js"
"RST-014","Unauthenticated public run can execute public concepts.","`/v1/public/run` calls `runtime.runVersion` or `runtime.runConcept` for public rows.","The route sits outside auth and was previously flagged as lacking explicit limiter coverage.","Public execution amplifies any public-source sandbox gap.","Rate-limit public run and require trust-reviewed versions.","open","src/router.js; auth-boundary-audit-2026-05-12.md"
"RST-015","Public registry export exposes executable source.","`/v1/registry/export` returns public recipe source for browser/device use.","Public source export is necessary for offline recipe mode but increases trust-label requirements.","Untrusted code can be copied into browser or agent contexts.","Ship signed trust envelopes and revocation labels for exported rows.","open","src/router.js; device-offline-browser-governance-audit-2026-05-12.md"
"RST-016","Benchmark egress monitor is scoped to benchmark only.","`benchmarkArtifact` patches fetch, http, https, net, tls, and dns during benchmark and restores them afterward.","Normal `runArtifact`, hosted runtime, MCP, and browser paths do not install this monitor.","Zero-egress benchmark proof can be mistaken for runtime-wide egress denial.","Move egress policy into runtime or narrow public wording to benchmark proof.","open","src/benchmark.js; src/artifact-runner.js"
"RST-017","Fixture benchmark zero-egress proof is real but narrow.","Artifact tests assert benchmark egress attempts are zero for four fixtures.","The proof covers known fixture artifacts in benchmark harness only.","The result should not be generalized to arbitrary recipes or all runtime modes.","Publish fixture-tier labels and add malicious egress fixtures.","solid","tests/artifact-end-to-end.test.js; src/benchmark.js"
"RST-018","Malicious-source tests are missing.","Search of `tests/` shows fixture/tamper/input tests but no focused denylist, escape, async, memory, or infinite-loop tests.","The sandbox posture depends mostly on code review and comments.","Security behavior can regress without a targeted test failure.","Add `verifier-security.test.js` with malicious recipe fixtures.","open","tests; src/verifier.js"
"RST-019","Browser SDK asset currently fails syntax check.","`node --check public/sdk.js` fails on a corrupted ternary expression.","The current browser SDK cannot be treated as working sandbox proof.","Public browser/offline claims can be false even before security testing.","Add external asset syntax checks and fix generation corruption.","open","public/sdk.js; tests/site.test.js"
"RST-020","Browser worker asset currently fails syntax check.","`node --check public/recipe-worker.js` fails on a corrupted ternary expression.","The worker sandbox path is not executable as checked in.","The intended browser isolation layer may not load at all.","Add worker syntax checks and browser smoke tests.","open","public/recipe-worker.js; tests/site.test.js"
"RST-021","Existing site test misses external browser assets.","`tests/site.test.js` parses inline non-module scripts but does not `node --check` external SDK/worker files.","The focused site suite can pass inline parsing while external runtime assets are broken.","Broken sandbox assets can ship unnoticed.","Extend site tests to syntax-check referenced JS assets.","open","tests/site.test.js; public/sdk.js; public/recipe-worker.js"
"RST-022","Browser SDK still has unsafe main-thread fallback.","`public/sdk.js` contains `new Function` fallback when no worker is available and unsafe mode is supported.","The code comments warn not to use it with untrusted recipes, but the fallback remains present.","No-worker runtimes can execute public registry source in page context.","Disable fallback by default or require explicit unsafe opt-in with blocking warning.","open","public/sdk.js"
"RST-023","Browser worker lockdown is not yet proven by tests.","`recipe-worker.js` intends to remove fetch, XMLHttpRequest, importScripts, indexedDB, caches, WebSocket, EventSource, and BroadcastChannel.","Because the worker does not parse, no current test proves those globals are denied.","Browser sandbox claims lack executable evidence.","Add worker malicious-global tests after syntax repair.","open","public/recipe-worker.js; device-offline-browser-governance-audit-2026-05-12.md"
"RST-024","Device page describes in-page function compilation.","`public/device.html` explains `new Function` in the tab process while other assets aim for worker isolation.","The public copy and SDK direction are inconsistent.","Users can misunderstand browser trust boundaries.","Align device copy with the actual worker/unsafe-mode contract.","open","public/device.html; public/sdk.js"
"RST-025","WASM support exists but is minimal.","`compileWasm` instantiates base64 WASM with no imports and expects `generate`.","There are no WASM fixtures, no memory/fuel limits, no WASI policy, and no conformance tests.","The strongest future sandbox target is not yet productized.","Prototype fixture recipes against WASM/Wasmtime or a constrained DSL.","open","src/verifier.js; https://docs.wasmtime.dev/security.html; https://webassembly.org/docs/security/"
"RST-026","Wasmtime/WebAssembly align with untrusted artifact goals.","Official Wasmtime/WebAssembly docs describe sandboxing, explicit imports, checked memory access, and capability-style host access.","Kolm's current JS path does not provide that model.","The strategic runtime target differs from current implementation.","Keep Wasmtime/WASM as the public-untrusted recipe target and plan migration.","open","https://docs.wasmtime.dev/security.html; https://webassembly.org/docs/security/"
"RST-027","Audit preview can expose input text locally.","`runArtifact` audit entries include an `input_preview` of up to 200 characters.","This is useful for debugging but can store sensitive snippets if persisted by callers.","Sandbox/logging stories should include data minimization.","Hash-only or redacted audit modes should be available for regulated use.","open","src/artifact-runner.js; audit-observability-evidence-audit-2026-05-12.md"
"RST-028","Compiled function cache has no trust partition.","`runtime.js` caches compiled functions by version id with a 10-minute TTL.","There is no trust-level partition or invalidation tied to review/revocation.","Revoked or reclassified public code could remain executable in memory.","Include trust state and revocation epoch in cache keys or invalidation.","open","src/runtime.js; registry-governance-audit-2026-05-12.md"
"RST-029","Synthesis prompt asks for pure deterministic code but enforcement is indirect.","`synthesis.js` instructs generated code to avoid imports, I/O, globals, and randomness.","Only verifier/source tests enforce part of the contract after generation.","Provider-generated code can drift outside policy if not tested directly.","Convert the prompt contract into verifier tests and generated-source lint rules.","open","src/synthesis.js; src/verifier.js"
